timestamp,io_errors,frames_tx,frames_rx,interface
277904315,7695,7519,0,1
278006201,7695,7519,0,1
278108218,7695,7519,0,1
278210217,7695,7519,0,1
278312202,7696,7533,0,1
278414502,7709,7533,0,1
278516211,7709,7533,0,1
278618219,7709,7533,0,1
278720233,7709,7533,0,1
278822210,7709,7535,0,1
278924525,7711,7535,0,1
279026201,7711,7535,0,1
279128217,7711,7535,0,1
279230220,7711,7537,0,1
279332206,7714,7549,0,1
279434323,7725,7549,0,1
279536200,7725,7549,0,1
279638223,7725,7549,0,1
279740217,7725,7551,0,1
279842202,7727,7551,0,1
279944502,7727,7551,0,1
280046201,7727,7551,0,1
280148218,7727,7551,0,1
280250219,7728,7553,0,1
280352202,7730,7565,0,1
280454311,7741,7565,0,1
280556201,7741,7565,0,1
280658220,7741,7565,0,1
280760223,7741,7567,0,1
280862202,7743,7567,0,1
280964515,7743,7567,0,1
281066202,7743,7567,0,1
281168217,7743,7567,0,1
281270218,7744,7569,0,1
281372208,7746,7581,0,1
281474340,7757,7581,0,1
281576202,7757,7581,0,1
281678218,7757,7581,0,1
281780217,7757,7583,0,1
281882215,7759,7583,0,1
281984551,7759,7583,0,1
282086203,7759,7583,0,1
282188218,7759,7583,0,1
282290218,7760,7597,0,1
282392201,7773,7597,0,1
282494553,7773,7597,0,1
282596201,7773,7597,0,1
282698218,7773,7597,0,1
282800220,7773,7599,0,1
282902203,7775,7599,0,1
283004317,7775,7599,0,1
283106200,7775,7599,0,1
283208218,7775,7599,0,1
283310218,7776,7613,0,1
283412202,7789,7613,0,1
283514328,7789,7613,0,1
283616202,7789,7613,0,1
283718219,7789,7613,0,1
283820217,7789,7615,0,1
283922205,7791,7615,0,1
284024307,7791,7615,0,1
284126208,7791,7615,0,1
284228221,7791,7615,0,1
284330218,7792,7629,0,1
284432204,7805,7629,0,1
284534502,7805,7629,0,1
284636202,7805,7629,0,1
284738218,7805,7629,0,1
284840218,7805,7631,0,1
284942205,7807,7631,0,1
285044510,7807,7631,0,1
285146204,7807,7631,0,1
285248223,7808,7631,0,1
285350216,7808,7645,0,1
285452202,7821,7645,0,1
285554312,7821,7645,0,1
285656203,7821,7645,0,1
285758221,7821,7645,0,1
285860218,7821,7647,0,1
285962205,7823,7647,0,1
286064509,7823,7647,0,1
286166201,7823,7647,0,1
286268217,7824,7647,0,1
286370226,7824,7661,0,1
286472211,7837,7661,0,1
286574547,7837,7661,0,1
286676202,7837,7661,0,1
286778217,7837,7661,0,1
286880240,7837,7663,0,1
286982202,7839,7663,0,1
287084332,7839,7663,0,1
287186202,7839,7663,0,1
287288218,7840,7675,0,1
287390218,7851,7677,0,1
287492209,7853,7677,0,1
287594511,7853,7677,0,1
287696201,7853,7677,0,1
287798219,7853,7677,0,1
287900217,7853,7679,0,1
288002203,7855,7679,0,1
288104503,7855,7679,0,1
288206201,7855,7679,0,1
288308218,7856,7691,0,1
288410218,7867,7693,0,1
288512206,7869,7693,0,1
