timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
327772146,1,0,1,0,0,0,0
328278147,1,0,1,0,0,0,0
328784561,1,0,1,0,0,0,0
329290174,1,0,1,0,0,0,0
329796170,1,0,1,0,0,0,0
330302146,1,0,1,0,0,0,0
330808147,1,0,1,0,0,0,0
331314327,1,0,1,0,0,0,0
331820174,1,0,1,0,0,0,0
332326146,1,0,1,0,0,0,0
332832165,1,0,1,0,0,0,0
333338234,1,0,1,0,0,0,0
333844582,1,0,1,0,0,0,0
334350176,1,0,1,0,0,0,0
334856287,1,0,1,0,0,0,0
335362146,1,0,1,0,0,0,0
335868168,1,0,1,0,0,0,0
336374394,1,0,1,0,0,0,0
336880180,1,0,1,0,0,0,0
337386147,1,0,1,0,0,0,0
337892145,1,0,1,0,0,0,0
338398146,1,0,1,0,0,0,0
338904510,1,0,1,0,0,0,0
339410230,1,0,1,0,0,0,0
339916146,1,0,1,0,0,0,0
340422145,1,0,1,0,0,0,0
340928147,1,0,1,0,0,0,0
341434512,1,0,1,0,0,0,0
341940176,1,0,1,0,0,0,0
342446146,1,0,1,0,0,0,0
342952146,1,0,1,0,0,0,0
343458147,1,0,1,0,0,0,0
343964348,1,0,1,0,0,0,0
344470304,1,0,1,0,0,0,0
344976147,1,0,1,0,0,0,0
345482146,1,0,1,0,0,0,0
345988147,1,0,1,0,0,0,0
346494518,1,0,1,0,0,0,0
347000176,1,0,1,0,0,0,0
347506147,1,0,1,0,0,0,0
348012145,1,0,1,0,0,0,0
348518167,1,0,1,0,0,0,0
349024541,1,0,1,0,0,0,0
349530176,1,0,1,0,0,0,0
350036147,1,0,1,0,0,0,0
350542146,1,0,1,0,0,0,0
351048146,1,0,1,0,0,0,0
351554610,1,0,1,0,0,0,0
352060174,1,0,1,0,0,0,0
352566147,1,0,1,0,0,0,0
353072146,1,0,1,0,0,0,0
353578147,1,0,1,0,0,0,0
354084513,1,0,1,0,0,0,0
354590225,1,0,1,0,0,0,0
355096146,1,0,1,0,0,0,0
355602147,1,0,1,0,0,0,0
356108147,1,0,1,0,0,0,0
356614573,1,0,1,0,0,0,0
357120179,1,0,1,0,0,0,0
357626146,1,0,1,0,0,0,0
358132145,1,0,1,0,0,0,0
358638148,1,0,1,0,0,0,0
359144346,1,0,1,0,0,0,0
359650214,1,0,1,0,0,0,0
360156167,1,0,1,0,0,0,0
360662146,1,0,1,0,0,0,0
361168168,1,0,1,0,0,0,0
361674520,1,0,1,0,0,0,0
362180340,1,0,1,0,0,0,0
362686147,1,0,1,0,0,0,0
363192146,1,0,1,0,0,0,0
363698167,1,0,1,0,0,0,0
364204528,1,0,1,0,0,0,0
364710180,1,0,1,0,0,0,0
365216231,1,0,1,0,0,0,0
365722166,1,0,1,0,0,0,0
366228166,1,0,1,0,0,0,0
366734362,1,0,1,0,0,0,0
367240201,1,0,1,0,0,0,0
367746167,1,0,1,0,0,0,0
368252165,1,0,1,0,0,0,0
368758147,1,0,1,0,0,0,0
369264643,1,0,1,0,0,0,0
369770174,1,0,1,0,0,0,0
370276146,1,0,1,0,0,0,0
370782146,1,0,1,0,0,0,0
371288147,1,0,1,0,0,0,0
371794353,1,0,1,0,0,0,0
372300175,1,0,1,0,0,0,0
372806146,1,0,1,0,0,0,0
373312146,1,0,1,0,0,0,0
373818146,1,0,1,0,0,0,0
374324541,1,0,1,0,0,0,0
374830176,1,0,1,0,0,0,0
375336147,1,0,1,0,0,0,0
375842146,1,0,1,0,0,0,0
376348146,1,0,1,0,0,0,0
376854536,1,0,1,0,0,0,0
377360228,1,0,1,0,0,0,0
377866148,1,0,1,0,0,0,0
378372146,1,0,1,0,0,0,0
378878151,1,0,1,0,0,0,0
379384546,1,0,1,0,0,0,0
379890175,1,0,1,0,0,0,0
380396166,1,0,1,0,0,0,0
380902165,1,0,1,0,0,0,0
381408167,1,0,1,0,0,0,0
381914545,1,0,1,0,0,0,0
382420175,1,0,1,0,0,0,0
382926148,1,0,1,0,0,0,0
383432145,1,0,1,0,0,0,0
383938147,1,0,1,0,0,0,0
384444537,1,0,1,0,0,0,0
384950236,1,0,1,0,0,0,0
385456146,1,0,1,0,0,0,0
385962146,1,0,1,0,0,0,0
386468168,1,0,1,0,0,0,0
386974620,1,0,1,0,0,0,0
387480215,1,0,1,0,0,0,0
387986166,1,0,1,0,0,0,0
388492145,1,0,1,0,0,0,0
388998146,1,0,1,0,0,0,0
389504342,1,0,1,0,0,0,0
390010176,1,0,1,0,0,0,0
390516169,1,0,1,0,0,0,0
391022145,1,0,1,0,0,0,0
391528147,1,0,1,0,0,0,0
392034323,1,0,1,0,0,0,0
392540176,1,0,1,0,0,0,0
393046147,1,0,1,0,0,0,0
393552146,1,0,1,0,0,0,0
394058147,1,0,1,0,0,0,0
394564349,1,0,1,0,0,0,0
395070203,1,0,1,0,0,0,0
395576147,1,0,1,0,0,0,0
396082146,1,0,1,0,0,0,0
396588148,1,0,1,0,0,0,0
397094353,1,0,1,0,0,0,0
397600174,1,0,1,0,0,0,0
398106146,1,0,1,0,0,0,0
398612146,1,0,1,0,0,0,0
399118148,1,0,1,0,0,0,0
399624373,1,0,1,0,0,0,0
400130221,1,0,1,0,0,0,0
400636146,1,0,1,0,0,0,0
401142146,1,0,1,0,0,0,0
401648146,1,0,1,0,0,0,0
402154537,1,0,1,0,0,0,0
402660175,1,0,1,0,0,0,0
403166147,1,0,1,0,0,0,0
403672146,1,0,1,0,0,0,0
404178147,1,0,1,0,0,0,0
404684495,1,0,1,0,0,0,0
405190201,1,0,1,0,0,0,0
405696203,1,0,1,0,0,0,0
406202146,1,0,1,0,0,0,0
406708148,1,0,1,0,0,0,0
407214552,1,0,1,0,0,0,0
407720175,1,0,1,0,0,0,0
408226146,1,0,1,0,0,0,0
408732146,1,0,1,0,0,0,0
409238231,1,0,1,0,0,0,0
409744512,1,0,1,0,0,0,0
410250211,1,0,1,0,0,0,0
410756147,1,0,1,0,0,0,0
411262145,1,0,1,0,0,0,0
411768167,1,0,1,0,0,0,0
412274674,1,0,1,0,0,0,0
412780178,1,0,1,0,0,0,0
413286148,1,0,1,0,0,0,0
413792145,1,0,1,0,0,0,0
414298147,1,0,1,0,0,0,0
414804512,1,0,1,0,0,0,0
415310173,1,0,1,0,0,0,0
415816165,1,0,1,0,0,0,0
416322145,1,0,1,0,0,0,0
416828148,1,0,1,0,0,0,0
417334516,1,0,1,0,0,0,0
417840206,1,0,1,0,0,0,0
418346146,1,0,1,0,0,0,0
418852146,1,0,1,0,0,0,0
419358146,1,0,1,0,0,0,0
419864348,1,0,1,0,0,0,0
420370176,1,0,1,0,0,0,0
420876182,1,0,1,0,0,0,0
421382145,1,0,1,0,0,0,0
421888147,1,0,1,0,0,0,0
422394594,1,0,1,0,0,0,0
422900240,1,0,1,0,0,0,0
423406268,1,0,1,0,0,0,0
423912154,1,0,1,0,0,0,0
424418146,1,0,1,0,0,0,0
424924526,1,0,1,0,0,0,0
425430176,1,0,1,0,0,0,0
425936147,1,0,1,0,0,0,0
426442166,1,0,1,0,0,0,0
426948166,1,0,1,0,0,0,0
427454365,1,0,1,0,0,0,0
427960209,1,0,1,0,0,0,0
428466146,1,0,1,0,0,0,0
428972146,1,0,1,0,0,0,0
429478147,1,0,1,0,0,0,0
429984562,1,0,1,0,0,0,0
430490176,1,0,1,0,0,0,0
430996190,1,0,1,0,0,0,0
431502147,1,0,1,0,0,0,0
432008147,1,0,1,0,0,0,0
432514373,1,0,1,0,0,0,0
433020316,1,0,1,0,0,0,0
433526147,1,0,1,0,0,0,0
434032146,1,0,1,0,0,0,0
434538167,1,0,1,0,0,0,0
435044593,1,0,1,0,0,0,0
435550176,1,0,1,0,0,0,0
436056146,1,0,1,0,0,0,0
