timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
277386841,277386435,0,nan,nan,0.015787387,-0.22806285,-1.732482,0.0150714135,-0.023842663,0.18027699,-0.023537265,-0.02602268,-0.12220555,-0.084582224,-2.6055152,-1.0446019,-0.00017852186,-0.25764677,-0.46816003,-0.051593594,1.4833506,0.0001493584,-0.07256138,1.5639687,2.271947e-05,nan,1.566498,2.0900443,0.18027699,0.030914592,0.020081656,0.056228694,0.032764066,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
277896843,277896435,0,nan,nan,0.022886008,-0.23749009,-1.7634256,0.0150714135,-0.023842663,0.18027699,-0.03471397,-0.039833136,-0.08082621,-0.044273924,-2.6055152,-1.0446019,-0.00017852186,-0.94224757,-1.17616,0.11448625,1.4838395,0.00014891669,-0.07241428,1.5639687,2.2717566e-05,nan,1.6034359,2.2175472,0.18027699,0.03109633,0.020174354,0.05645625,0.0328954,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
278396836,278396435,0,nan,nan,0.0034105866,-0.23924729,-1.7901962,0.0150714135,-0.023842663,0.18027699,-0.042307124,-0.018162945,-0.08192882,-0.052184988,-2.6055152,-1.0446019,-0.00017852186,-0.41237515,-0.37925366,0.3597012,1.4848152,0.00014882472,-0.07164848,1.5639687,2.278458e-05,nan,1.634437,2.34255,0.18027699,0.0319546,0.020678375,0.057078473,0.03316678,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
278896694,278896435,0,nan,nan,0.010519413,-0.24322388,-1.8120635,0.0150714135,-0.023842663,0.18027699,-0.021968631,0.0053955577,-0.09478975,-0.06143379,-2.6055152,-1.0446019,-0.00017852186,0.71730846,0.61133814,0.57833326,1.4858727,0.00014961627,-0.07069683,1.5639687,2.2821674e-05,nan,1.6498953,2.467553,0.18027699,0.0332583,0.021525586,0.05759723,0.033386473,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
279396693,279396435,0,nan,nan,-0.020994665,-0.22315937,-1.8525714,0.0150714135,-0.023842663,0.18027699,-0.034007296,0.056141645,-0.108614564,-0.08166659,-2.6055152,-1.0446019,-0.00017852186,-0.3999318,1.6248494,0.32881814,1.487564,0.00014930003,-0.06916404,1.5639687,2.2698441e-05,nan,1.6972506,2.5925558,0.18027699,0.031530317,0.020501843,0.05673049,0.032957718,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
279886858,279886435,0,nan,nan,-0.047992364,-0.20310463,-1.9000412,0.0150714135,-0.023842663,0.18027699,-0.038319163,0.03792111,-0.084606685,-0.06532788,-2.6055152,-1.0446019,-0.00017852186,-1.347381,0.15704948,0.06615687,1.4883217,0.00014867674,-0.06867921,1.5639687,2.2664159e-05,nan,1.7405415,2.7150588,0.18027699,0.030958375,0.02008875,0.056605972,0.032936595,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
280386692,280386435,0,nan,nan,-0.052829873,-0.22550787,-1.9083209,0.0150714135,-0.023842663,0.18027699,0.012514973,0.012526062,-0.047275875,-0.019996647,-2.6055152,-1.0446019,-0.00017852186,0.6301095,0.9754152,-0.23593289,1.4864953,0.0001477719,-0.07077694,1.5639687,2.2587079e-05,nan,1.7479898,2.840062,0.18027699,0.030361049,0.0197231,0.05604934,0.03274056,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
280886841,280886434,0,nan,nan,-0.053537216,-0.21876371,-1.9024438,0.0150714135,-0.023842663,0.18027699,0.012229023,0.025096891,-0.013685296,0.014857566,-2.6055152,-1.0446019,-0.00017852186,-0.9009498,-0.20601642,-0.33950564,1.4833748,0.00014776408,-0.074213386,1.5639687,2.2683895e-05,nan,1.7509791,2.9650648,0.18027699,0.031717587,0.020540623,0.056737315,0.033061467,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
281396844,281396435,0,nan,nan,-0.03886185,-0.1811667,-1.8845203,0.0150714135,-0.023842663,0.18027699,0.027424043,0.025955115,-0.01447746,0.019000541,-2.6055152,-1.0446019,-0.00017852186,-0.73833424,-0.35737866,0.2939197,1.4824919,0.00014722606,-0.07546723,1.5639687,2.2561671e-05,nan,1.7310951,3.0925686,0.18027699,0.030552804,0.019912917,0.05571681,0.032569297,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
281896694,281896435,0,nan,nan,-0.015681503,-0.16378269,-1.8828944,0.0150714135,-0.023842663,0.18027699,0.024436349,0.0039772405,-0.057283614,-0.026581151,-2.6055152,-1.0446019,-0.00017852186,0.36343107,-1.8741951,-0.033063255,1.4829925,0.0001470451,-0.07526648,1.5639687,2.2694378e-05,nan,1.7327992,3.2175715,0.18027699,0.031268854,0.02026915,0.056737177,0.03295153,inf,inf,inf,inf,inf,1,1,1,1,14,6,7,1,1,1,0,0,0,6,0,0
