timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
284724220,284723838,0.7,3.5646157e-05,-2.7656074,1.0117831,0.83994544,1.0,1
284824372,284823838,0.7,3.806014e-05,-2.65013,1.0197321,0.7652542,1.0021627,1
284924232,284923843,0.7,3.688842e-05,-2.5808792,1.0122803,0.73112565,1.0,1
285024404,285023837,0.7,4.1087354e-05,-3.2755175,1.013689,1.1760142,1.0,1
285124225,285123836,0.7,4.303585e-05,-3.3275895,1.0137477,1.2136322,1.0,1
285224237,285223844,0.7,4.0885498e-05,-2.988354,1.0136887,0.97885185,1.0,1
285324228,285323841,0.7,3.60576e-05,-2.9319744,1.0119462,0.9438879,1.0,1
285424369,285423837,0.7,3.86791e-05,-3.4250917,1.0122007,1.2877611,1.0,1
285524398,285523845,0.7,3.8949423e-05,-2.3837385,1.0128983,0.6233169,1.0,1
285624257,285623837,0.7,3.930667e-05,-2.9891477,1.0129325,0.9801029,1.0,1
285724234,285723837,0.7,4.492997e-05,-3.1671922,1.0239149,1.0885352,1.005437,1
285824245,285823848,0.7,4.0873856e-05,-2.0159225,1.0135112,0.44552967,1.0,1
285924229,285923838,0.7,4.2730986e-05,-3.4304585,1.019339,1.2827536,1.0026969,1
286024260,286023840,0.7,4.0793708e-05,-2.6658432,1.013455,0.77915204,1.0,1
286124399,286123839,0.7,4.2599324e-05,-3.3714335,1.013453,1.2461866,1.0,1
286224392,286223838,0.7,4.0651186e-05,-2.619253,1.0134686,0.7521458,1.0,1
286324222,286323837,0.7,4.2158717e-05,-2.325417,1.0140644,0.59250724,1.0,1
286424384,286423841,0.7,4.0307168e-05,-2.7978952,1.0134374,0.85826904,1.0,1
286524226,286523838,0.7,4.1959636e-05,-2.7214155,1.0141057,0.8114542,1.0,1
286624370,286623836,0.7,4.3534375e-05,-1.9757749,1.0147364,0.42744395,1.0,1
286724226,286723840,0.7,4.6475394e-05,-3.1490667,1.0150033,1.0855598,1.0,1
286824221,286823838,0.7,4.376023e-05,-2.6195092,1.014712,0.7513712,1.0,1
286924253,286923839,0.7,4.3267068e-05,-3.0069375,1.0144577,0.99031264,1.0,1
287024370,287023836,0.7,4.4875607e-05,-3.6064363,1.014302,1.4247763,1.0,1
287124225,287123837,0.7,4.4058746e-05,-1.6832051,1.0147035,0.31023616,1.0016963,1
287224221,287223836,0.7,4.330898e-05,-2.5391135,1.0143372,0.7062189,1.0,1
287324243,287323838,0.7,4.3069624e-05,-2.5722318,1.0141892,0.72486764,1.0,1
287424222,287423840,0.7,4.2608368e-05,-2.7568972,1.0139642,0.8328678,1.0,1
287524375,287523840,0.7,4.078617e-05,-2.6650622,1.0133427,0.7787819,1.0,1
287624375,287623838,0.7,3.922408e-05,-2.7830727,1.0128129,0.8497231,1.0,1
287724227,287723838,0.7,3.9641567e-05,-2.478323,1.0129395,0.6737361,1.0,1
