timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
294376210,-0.9539507,0,0,0,0,0,0,0,0,0
294882157,-1.0139148,0,0,0,0,0,0,0,0,0
295388158,-1.0834346,0,0,0,0,0,0,0,0,0
295894332,-1.0164307,0,0,0,0,0,0,0,0,0
296400236,-1.1267483,0,0,0,0,0,0,0,0,0
296906159,-1.1399843,0,0,0,0,0,0,0,0,0
297412208,-1.1860554,0,0,0,0,0,0,0,0,0
297918161,-1.1945704,0,0,0,0,0,0,0,0,0
298424449,-1.0830479,0,0,0,0,0,0,0,0,0
298930204,-0.8989761,0,0,0,0,0,0,0,0,0
299436158,-0.90475774,0,0,0,0,0,0,0,0,0
299942171,-0.74682856,0,0,0,0,0,0,0,0,0
300448158,-0.76179343,0,0,0,0,0,0,0,0,0
300954396,-0.7689654,0,0,0,0,0,0,0,0,0
301460229,-0.75363654,0,0,0,0,0,0,0,0,0
301966167,-0.7379151,0,0,0,0,0,0,0,0,0
302472157,-0.9064924,0,0,0,0,0,0,0,0,0
302978158,-0.9023752,0,0,0,0,0,0,0,0,0
303484543,-0.9835011,0,0,0,0,0,0,0,0,0
303990220,-0.9797367,0,0,0,0,0,0,0,0,0
304496158,-1.0659242,0,0,0,0,0,0,0,0,0
305002157,-1.0527406,0,0,0,0,0,0,0,0,0
305508158,-0.9424013,0,0,0,0,0,0,0,0,0
306014352,-0.39633575,0,0,0,0,0,0,0,0,0
306520206,-0.30846995,0,0,0,0,0,0,0,0,0
307026158,-0.436316,0,0,0,0,0,0,0,0,0
307532158,-0.46313262,0,0,0,0,0,0,0,0,0
308038158,-0.49210528,0,0,0,0,0,0,0,0,0
308544544,-0.62893003,0,0,0,0,0,0,0,0,0
309050354,-0.33463743,0,0,0,0,0,0,0,0,0
309556157,-0.6297816,0,0,0,0,0,0,0,0,0
310062157,-0.9711664,0,0,0,0,0,0,0,0,0
310568220,-0.8593041,0,0,0,0,0,0,0,0,0
311074524,-0.8972783,0,0,0,0,0,0,0,0,0
311580203,-0.82795143,0,0,0,0,0,0,0,0,0
312086158,-0.89367634,0,0,0,0,0,0,0,0,0
312592157,-0.88381934,0,0,0,0,0,0,0,0,0
313098158,-0.7953143,0,0,0,0,0,0,0,0,0
313604364,-0.83748215,0,0,0,0,0,0,0,0,0
314110203,-0.829519,0,0,0,0,0,0,0,0,0
314616159,-1.0499969,0,0,0,0,0,0,0,0,0
315122157,-0.9375676,0,0,0,0,0,0,0,0,0
315628158,-0.98342377,0,0,0,0,0,0,0,0,0
316134427,-0.9570054,0,0,0,0,0,0,0,0,0
316640240,-0.96456635,0,0,0,0,0,0,0,0,0
317146270,-0.91034025,0,0,0,0,0,0,0,0,0
317652157,-0.84102774,0,0,0,0,0,0,0,0,0
318158159,-0.69062185,0,0,0,0,0,0,0,0,0
318664515,-0.72248274,0,0,0,0,0,0,0,0,0
319170203,-0.68642014,0,0,0,0,0,0,0,0,0
319676159,-0.7091574,0,0,0,0,0,0,0,0,0
320182157,-0.663849,0,0,0,0,0,0,0,0,0
320688158,-0.6177469,0,0,0,0,0,0,0,0,0
321194546,-0.47954753,0,0,0,0,0,0,0,0,0
321700205,-0.48659092,0,0,0,0,0,0,0,0,0
322206162,-0.36485022,0,0,0,0,0,0,0,0,0
322712157,-0.523789,0,0,0,0,0,0,0,0,0
323218158,-0.42827418,0,0,0,0,0,0,0,0,0
323724517,-0.64272326,0,0,0,0,0,0,0,0,0
324230231,-0.70626396,0,0,0,0,0,0,0,0,0
324736158,-0.7149878,0,0,0,0,0,0,0,0,0
325242158,-0.65649897,0,0,0,0,0,0,0,0,0
325748159,-0.5576539,0,0,0,0,0,0,0,0,0
326254338,-0.5254557,0,0,0,0,0,0,0,0,0
326760301,-0.5979988,0,0,0,0,0,0,0,0,0
327266158,-0.6004065,0,0,0,0,0,0,0,0,0
327772157,-0.5120816,0,0,0,0,0,0,0,0,0
328278159,-0.48097444,0,0,0,0,0,0,0,0,0
328784569,-0.474271,0,0,0,0,0,0,0,0,0
329290204,-0.4402478,0,0,0,0,0,0,0,0,0
329796182,-0.53849566,0,0,0,0,0,0,0,0,0
330302157,-0.5637406,0,0,0,0,0,0,0,0,0
330808158,-0.49648952,0,0,0,0,0,0,0,0,0
331314335,-0.42838675,0,0,0,0,0,0,0,0,0
331820228,-0.43127167,0,0,0,0,0,0,0,0,0
332326157,-0.4753167,0,0,0,0,0,0,0,0,0
332832175,-0.5574181,0,0,0,0,0,0,0,0,0
333338246,-0.51312214,0,0,0,0,0,0,0,0,0
333844590,-0.5597933,0,0,0,0,0,0,0,0,0
334350205,-0.6595552,0,0,0,0,0,0,0,0,0
334856298,-0.71431,0,0,0,0,0,0,0,0,0
335362157,-0.7824863,0,0,0,0,0,0,0,0,0
335868197,-0.958245,0,0,0,0,0,0,0,0,0
336374402,-1.0194182,0,0,0,0,0,0,0,0,0
336880212,-0.93137383,0,0,0,0,0,0,0,0,0
337386158,-1.1023983,0,0,0,0,0,0,0,0,0
337892156,-1.032939,0,0,0,0,0,0,0,0,0
338398158,-1.0448236,0,0,0,0,0,0,0,0,0
338904517,-0.9876823,0,0,0,0,0,0,0,0,0
339410240,-0.92623997,0,0,0,0,0,0,0,0,0
339916157,-0.9078943,0,0,0,0,0,0,0,0,0
340422156,-0.8824539,0,0,0,0,0,0,0,0,0
340928158,-0.79937357,0,0,0,0,0,0,0,0,0
341434520,-0.88239175,0,0,0,0,0,0,0,0,0
341940205,-0.7426805,0,0,0,0,0,0,0,0,0
342446158,-0.8237347,0,0,0,0,0,0,0,0,0
342952157,-0.9507334,0,0,0,0,0,0,0,0,0
343458158,-0.85034543,0,0,0,0,0,0,0,0,0
343964356,-0.8759777,0,0,0,0,0,0,0,0,0
344470315,-0.8230036,0,0,0,0,0,0,0,0,0
344976159,-0.8150246,0,0,0,0,0,0,0,0,0
345482157,-0.87901765,0,0,0,0,0,0,0,0,0
345988158,-0.872721,0,0,0,0,0,0,0,0,0
346494526,-0.8678367,0,0,0,0,0,0,0,0,0
347000230,-0.83987206,0,0,0,0,0,0,0,0,0
347506159,-0.8316085,0,0,0,0,0,0,0,0,0
348012156,-0.69055635,0,0,0,0,0,0,0,0,0
348518178,-0.67975783,0,0,0,0,0,0,0,0,0
349024549,-0.70768476,0,0,0,0,0,0,0,0,0
349530205,-0.7224126,0,0,0,0,0,0,0,0,0
350036158,-0.7589667,0,0,0,0,0,0,0,0,0
350542157,-0.8379009,0,0,0,0,0,0,0,0,0
351048158,-0.92096686,0,0,0,0,0,0,0,0,0
351554617,-0.82691234,0,0,0,0,0,0,0,0,0
352060203,-0.73148155,0,0,0,0,0,0,0,0,0
352566159,-0.7283426,0,0,0,0,0,0,0,0,0
353072157,-0.60489327,0,0,0,0,0,0,0,0,0
353578158,-0.5388364,0,0,0,0,0,0,0,0,0
354084521,-0.27125025,0,0,0,0,0,0,0,0,0
354590236,-0.27287814,0,0,0,0,0,0,0,0,0
355096158,-0.1932789,0,0,0,0,0,0,0,0,0
355602158,-0.27531165,0,0,0,0,0,0,0,0,0
356108158,-0.28677708,0,0,0,0,0,0,0,0,0
356614581,-0.33655325,0,0,0,0,0,0,0,0,0
357120208,-0.45339605,0,0,0,0,0,0,0,0,0
357626158,-0.4590043,0,0,0,0,0,0,0,0,0
358132157,-0.455711,0,0,0,0,0,0,0,0,0
358638160,-0.53865755,0,0,0,0,0,0,0,0,0
359144354,-0.5074628,0,0,0,0,0,0,0,0,0
359650225,-0.4845016,0,0,0,0,0,0,0,0,0
360156178,-0.6517553,0,0,0,0,0,0,0,0,0
360662157,-0.645174,0,0,0,0,0,0,0,0,0
361168197,-0.7322357,0,0,0,0,0,0,0,0,0
361674528,-0.6978674,0,0,0,0,0,0,0,0,0
362180352,-0.65635645,0,0,0,0,0,0,0,0,0
362686158,-0.5491279,0,0,0,0,0,0,0,0,0
363192158,-0.5101237,0,0,0,0,0,0,0,0,0
363698220,-0.5229575,0,0,0,0,0,0,0,0,0
364204536,-0.72033954,0,0,0,0,0,0,0,0,0
364710209,-0.8506467,0,0,0,0,0,0,0,0,0
365216260,-0.85870415,0,0,0,0,0,0,0,0,0
365722177,-0.83548915,0,0,0,0,0,0,0,0,0
366228177,-0.91912395,0,0,0,0,0,0,0,0,0
366734370,-0.88521975,0,0,0,0,0,0,0,0,0
367240212,-0.82771504,0,0,0,0,0,0,0,0,0
367746178,-1.0067192,0,0,0,0,0,0,0,0,0
368252176,-0.8846764,0,0,0,0,0,0,0,0,0
368758159,-0.91689175,0,0,0,0,0,0,0,0,0
369264651,-0.95661724,0,0,0,0,0,0,0,0,0
369770228,-1.0199244,0,0,0,0,0,0,0,0,0
370276157,-0.9902387,0,0,0,0,0,0,0,0,0
370782157,-0.9763253,0,0,0,0,0,0,0,0,0
371288158,-0.86232615,0,0,0,0,0,0,0,0,0
371794361,-0.7852628,0,0,0,0,0,0,0,0,0
372300204,-0.73127,0,0,0,0,0,0,0,0,0
372806157,-0.6150721,0,0,0,0,0,0,0,0,0
373312157,-0.75705755,0,0,0,0,0,0,0,0,0
373818158,-0.88723016,0,0,0,0,0,0,0,0,0
374324548,-0.9819741,0,0,0,0,0,0,0,0,0
374830205,-1.0113026,0,0,0,0,0,0,0,0,0
375336158,-1.0464023,0,0,0,0,0,0,0,0,0
375842157,-1.1025518,0,0,0,0,0,0,0,0,0
376348158,-1.0130904,0,0,0,0,0,0,0,0,0
376854545,-1.0923965,0,0,0,0,0,0,0,0,0
377360239,-1.0268201,0,0,0,0,0,0,0,0,0
377866160,-0.83783,0,0,0,0,0,0,0,0,0
378372158,-0.79319286,0,0,0,0,0,0,0,0,0
378878162,-0.66511595,0,0,0,0,0,0,0,0,0
379384554,-0.5581767,0,0,0,0,0,0,0,0,0
379890303,-0.67257774,0,0,0,0,0,0,0,0,0
380396177,-0.8527684,0,0,0,0,0,0,0,0,0
380902176,-0.84688187,0,0,0,0,0,0,0,0,0
381408178,-0.83840615,0,0,0,0,0,0,0,0,0
381914553,-0.79283273,0,0,0,0,0,0,0,0,0
382420204,-0.6884363,0,0,0,0,0,0,0,0,0
382926160,-0.67272514,0,0,0,0,0,0,0,0,0
383432156,-0.6944874,0,0,0,0,0,0,0,0,0
383938158,-0.7323902,0,0,0,0,0,0,0,0,0
384444544,-0.70287263,0,0,0,0,0,0,0,0,0
384950248,-0.76000196,0,0,0,0,0,0,0,0,0
385456158,-0.8711467,0,0,0,0,0,0,0,0,0
385962158,-0.92383504,0,0,0,0,0,0,0,0,0
386468220,-0.9296906,0,0,0,0,0,0,0,0,0
386974628,-0.8398602,0,0,0,0,0,0,0,0,0
387480226,-0.8585022,0,0,0,0,0,0,0,0,0
387986178,-0.89621466,0,0,0,0,0,0,0,0,0
388492157,-0.9920069,0,0,0,0,0,0,0,0,0
388998158,-1.095822,0,0,0,0,0,0,0,0,0
389504350,-1.174569,0,0,0,0,0,0,0,0,0
390010205,-1.1415162,0,0,0,0,0,0,0,0,0
390516425,-1.2048359,0,0,0,0,0,0,0,0,0
391022157,-1.3456627,0,0,0,0,0,0,0,0,0
391528158,-1.2527143,0,0,0,0,0,0,0,0,0
392034330,-1.2628086,0,0,0,0,0,0,0,0,0
392540230,-1.3091316,0,0,0,0,0,0,0,0,0
393046159,-1.3496834,0,0,0,0,0,0,0,0,0
393552157,-1.2641655,0,0,0,0,0,0,0,0,0
394058174,-1.2735552,0,0,0,0,0,0,0,0,0
394564357,-1.2099319,0,0,0,0,0,0,0,0,0
395070214,-1.1600266,0,0,0,0,0,0,0,0,0
395576158,-1.2513694,0,0,0,0,0,0,0,0,0
396082157,-1.3895284,0,0,0,0,0,0,0,0,0
396588160,-1.371599,0,0,0,0,0,0,0,0,0
397094361,-1.3788657,0,0,0,0,0,0,0,0,0
397600300,-1.2953124,0,0,0,0,0,0,0,0,0
398106157,-1.2102506,0,0,0,0,0,0,0,0,0
398612158,-0.99268585,0,0,0,0,0,0,0,0,0
399118159,-0.95801425,0,0,0,0,0,0,0,0,0
399624381,-0.95596325,0,0,0,0,0,0,0,0,0
400130232,-0.9817545,0,0,0,0,0,0,0,0,0
400636157,-0.88839614,0,0,0,0,0,0,0,0,0
401142158,-0.9190352,0,0,0,0,0,0,0,0,0
401648158,-0.86568666,0,0,0,0,0,0,0,0,0
402154545,-0.85207903,0,0,0,0,0,0,0,0,0
402660204,-0.93139213,0,0,0,0,0,0,0,0,0
403166158,-0.7534667,0,0,0,0,0,0,0,0,0
403672157,-0.6637141,0,0,0,0,0,0,0,0,0
404178158,-0.7166211,0,0,0,0,0,0,0,0,0
404684502,-0.77823615,0,0,0,0,0,0,0,0,0
405190213,-0.7346912,0,0,0,0,0,0,0,0,0
405696214,-0.8242832,0,0,0,0,0,0,0,0,0
406202157,-0.90675414,0,0,0,0,0,0,0,0,0
406708159,-1.1007922,0,0,0,0,0,0,0,0,0
407214560,-1.1745578,0,0,0,0,0,0,0,0,0
407720229,-1.3464096,0,0,0,0,0,0,0,0,0
408226157,-1.5099677,0,0,0,0,0,0,0,0,0
408732157,-1.4845918,0,0,0,0,0,0,0,0,0
409238243,-1.4883194,0,0,0,0,0,0,0,0,0
409744519,-1.4245269,0,0,0,0,0,0,0,0,0
410250222,-1.4056474,0,0,0,0,0,0,0,0,0
410756158,-1.370355,0,0,0,0,0,0,0,0,0
411262157,-1.6044202,0,0,0,0,0,0,0,0,0
411768310,-1.5492363,0,0,0,0,0,0,0,0,0
412274682,-1.5077343,0,0,0,0,0,0,0,0,0
412780222,-1.5383108,0,0,0,0,0,0,0,0,0
413286159,-1.5113541,0,0,0,0,0,0,0,0,0
413792157,-1.4953272,0,0,0,0,0,0,0,0,0
414298158,-1.4906831,0,0,0,0,0,0,0,0,0
414804520,-1.5219508,0,0,0,0,0,0,0,0,0
415310322,-1.5875118,0,0,0,0,0,0,0,0,0
415816176,-1.4387376,0,0,0,0,0,0,0,0,0
416322156,-1.4797707,0,0,0,0,0,0,0,0,0
416828160,-1.4421763,0,0,0,0,0,0,0,0,0
417334523,-1.5187782,0,0,0,0,0,0,0,0,0
417840217,-1.5861775,0,0,0,0,0,0,0,0,0
418346158,-1.5857831,0,0,0,0,0,0,0,0,0
418852158,-1.6108968,0,0,0,0,0,0,0,0,0
419358158,-1.5035112,0,0,0,0,0,0,0,0,0
419864357,-1.4750471,0,0,0,0,0,0,0,0,0
420370205,-1.3556023,0,0,0,0,0,0,0,0,0
420876193,-1.415408,0,0,0,0,0,0,0,0,0
421382156,-1.3711857,0,0,0,0,0,0,0,0,0
421888158,-1.3533186,0,0,0,0,0,0,0,0,0
422394602,-1.4159664,0,0,0,0,0,0,0,0,0
422900273,-1.4283065,0,0,0,0,0,0,0,0,0
423406279,-1.3576915,0,0,0,0,0,0,0,0,0
423912165,-1.4636537,0,0,0,0,0,0,0,0,0
424418174,-1.4875503,0,0,0,0,0,0,0,0,0
424924534,-1.6134183,0,0,0,0,0,0,0,0,0
425430205,-1.5352038,0,0,0,0,0,0,0,0,0
425936158,-1.6701194,0,0,0,0,0,0,0,0,0
426442177,-1.6903727,0,0,0,0,0,0,0,0,0
426948177,-1.5407616,0,0,0,0,0,0,0,0,0
427454373,-1.346585,0,0,0,0,0,0,0,0,0
427960220,-1.2704614,0,0,0,0,0,0,0,0,0
428466157,-1.4490932,0,0,0,0,0,0,0,0,0
428972157,-1.2424725,0,0,0,0,0,0,0,0,0
429478159,-1.2633014,0,0,0,0,0,0,0,0,0
429984570,-1.3263365,0,0,0,0,0,0,0,0,0
430490230,-1.2483138,0,0,0,0,0,0,0,0,0
430996200,-1.2497452,0,0,0,0,0,0,0,0,0
431502158,-1.4860123,0,0,0,0,0,0,0,0,0
432008159,-1.348068,0,0,0,0,0,0,0,0,0
432514380,-1.1471276,0,0,0,0,0,0,0,0,0
433020327,-1.1329153,0,0,0,0,0,0,0,0,0
433526158,-1.4633287,0,0,0,0,0,0,0,0,0
434032158,-1.4907888,0,0,0,0,0,0,0,0,0
434538178,-1.5858641,0,0,0,0,0,0,0,0,0
435044601,-1.7237215,0,0,0,0,0,0,0,0,0
435550205,-1.6877623,0,0,0,0,0,0,0,0,0
436056157,-1.7063482,0,0,0,0,0,0,0,0,0
436562157,-1.698124,0,0,0,0,0,0,0,0,0
437068177,-1.7379946,0,0,0,0,0,0,0,0,0
437574576,-1.6060325,0,0,0,0,0,0,0,0,0
438080237,-1.4747356,0,0,0,0,0,0,0,0,0
438586158,-1.4030147,0,0,0,0,0,0,0,0,0
439092157,-1.1619333,0,0,0,0,0,0,0,0,0
439598157,-1.1065359,0,0,0,0,0,0,0,0,0
440104638,-1.0094942,0,0,0,0,0,0,0,0,0
440610204,-0.9712236,0,0,0,0,0,0,0,0,0
441116304,-1.0757054,0,0,0,0,0,0,0,0,0
441622157,-1.0883671,0,0,0,0,0,0,0,0,0
442128158,-0.85516727,0,0,0,0,0,0,0,0,0
442634394,-1.0110977,0,0,0,0,0,0,0,0,0
443140218,-1.0802562,0,0,0,0,0,0,0,0,0
443646158,-1.0888174,0,0,0,0,0,0,0,0,0
444152157,-1.106312,0,0,0,0,0,0,0,0,0
444658158,-0.96395046,0,0,0,0,0,0,0,0,0
445164520,-0.8398457,0,0,0,0,0,0,0,0,0
445670229,-0.5794555,0,0,0,0,0,0,0,0,0
446176158,-0.47520086,0,0,0,0,0,0,0,0,0
446682158,-0.46282005,0,0,0,0,0,0,0,0,0
447188158,-0.45755577,0,0,0,0,0,0,0,0,0
447694568,-0.4851613,0,0,0,0,0,0,0,0,0
448200205,-0.47862676,0,0,0,0,0,0,0,0,0
448706158,-0.5122454,0,0,0,0,0,0,0,0,0
449212157,-0.5390133,0,0,0,0,0,0,0,0,0
449718159,-0.5283348,0,0,0,0,0,0,0,0,0
