timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
318974028,318973740,0.7398636,0.0038686108,-0.011633943,0.6726453,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
319474007,319473741,0.7406085,0.0027061228,-0.006698146,0.671898,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
319974041,319973742,0.74083894,0.0016093279,-0.0076215565,0.67163754,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
320474047,320473741,0.74061465,0.0064978385,-0.005632176,0.671875,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
320974003,320973740,0.7401533,0.0050036935,-0.0038998367,0.67240834,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
321474006,321473741,0.7405808,0.0056099095,-0.0027779744,0.67193824,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
321974005,321973740,0.73977226,0.011687777,-0.008091627,0.6727072,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
322474011,322473741,0.73810345,0.011245994,-0.010427056,0.6745133,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
322974012,322973741,0.7367274,0.008459341,-0.0134663,0.6760028,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
323474006,323473741,0.7367379,0.008712707,-0.013044853,0.6759964,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
323974002,323973740,0.73724395,0.009612815,-0.011595329,0.6754588,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
324474016,324473748,0.73755133,0.0088708885,-0.008839913,0.6751751,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
324974016,324973741,0.73873967,0.0054490915,-0.0046068346,0.6739532,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
325474011,325473741,0.7400304,0.0036563782,-0.0019959752,0.6725606,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
325974013,325973741,0.7409905,0.004956117,-0.0045001274,0.67148215,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
326474007,326473741,0.74079496,0.0059128986,-0.0025947047,0.6717003,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
326974013,326973745,0.7395762,0.0066970517,-0.005477305,0.67301726,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
327474039,327473741,0.73984444,0.012737949,-0.013791322,0.67251605,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
327974002,327973741,0.7413688,0.010445115,-0.014502577,0.67085993,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
328474004,328473740,0.7416902,0.01377295,-0.011066867,0.6705099,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
328974007,328973741,0.7412606,0.008752364,-0.008759863,0.6711032,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
329474003,329473740,0.7399528,0.007905113,-0.009657938,0.6725431,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
329974042,329973741,0.74015945,0.0062922905,-0.009346468,0.6723371,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
330474009,330473741,0.7404517,0.0038746803,-0.0075222617,0.6720564,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
330974015,330973741,0.7410406,0.0053081736,-0.0019377372,0.67143655,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
331474003,331473740,0.74186623,0.006915216,-0.00225036,0.6705085,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
331974026,331973741,0.7412461,0.0061290143,-0.009231961,0.6711419,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
332474005,332473740,0.7409487,0.010109906,-0.007300356,0.6714459,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
332974006,332973740,0.74088186,0.011245848,-0.011672945,0.6714399,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
333474008,333473741,0.74140537,0.009568868,-0.011024548,0.6708987,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
333974015,333973744,0.7408344,0.008662524,-0.011550474,0.6715325,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
334474004,334473740,0.7397367,0.007832377,-0.013986272,0.6727056,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
334974008,334973742,0.74012655,0.005410255,-0.013378708,0.6723128,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
335474015,335473741,0.73969835,0.0047810315,-0.005547098,0.6728988,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
335974004,335973741,0.74071133,0.0030925833,-0.00022425578,0.67181635,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
336474052,336473741,0.74231327,0.0054012113,-0.0022908198,0.67002743,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
336974038,336973741,0.7409545,0.007924477,-0.005218933,0.6714882,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
337474008,337473741,0.7402529,0.010036246,-0.01042148,0.67217284,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
337974004,337973741,0.73885405,0.012012207,-0.01234411,0.6736454,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
338474017,338473741,0.7382698,0.014249728,-0.011906257,0.67424995,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
338974002,338973740,0.7376287,0.01290187,-0.011057995,0.6749928,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
339474005,339473741,0.73686534,0.009251762,-0.011605904,0.6758767,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
339974005,339973741,0.73539746,0.004894622,-0.009721346,0.6775487,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
340474028,340473741,0.7339365,0.009350785,-0.007454701,0.67911285,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
340974034,340973741,0.7348703,0.0037534132,-0.0026114683,0.6781923,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
341474010,341473744,0.73615295,0.0015565027,-0.0018186896,0.6768111,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
341974010,341973741,0.73586607,0.007809923,-0.0012732693,0.677081,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
342474004,342473741,0.7338785,0.009472602,-0.0014863247,0.67921317,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
342974007,342973740,0.7333957,0.010872812,-0.005266098,0.6796948,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
343474006,343473741,0.7318789,0.011301884,-0.012615145,0.68122435,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
343974013,343973741,0.7303237,0.012028672,-0.015996277,0.68280804,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
344474010,344473741,0.73105896,0.01240973,-0.016987447,0.68199,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
344974033,344973740,0.7346736,0.0071617085,-0.011810092,0.6782801,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
345474008,345473741,0.73835963,0.009751739,-0.011825656,0.6742331,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
345974003,345973740,0.74105275,0.008077332,-0.007424314,0.6713573,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
346474004,346473740,0.741995,0.005511834,-0.005876776,0.67035705,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
346974006,346973741,0.74219996,-0.00039791345,-0.0020487495,0.6701754,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
347474012,347473741,0.74061173,0.004804995,-0.0008431293,0.6719156,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
347974010,347973744,0.74243486,0.011166194,-0.0011409028,0.66982424,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
348474006,348473741,0.74541646,0.01569645,-0.007971331,0.6663666,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
348974002,348973741,0.7447261,0.011788806,-0.016777141,0.66705525,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
349474003,349473740,0.7445522,0.011995309,-0.0136434175,0.66731715,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
349974005,349973741,0.74401647,0.012905326,-0.0138976555,0.6678921,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
350474006,350473741,0.74126846,0.0079465415,-0.013445716,0.67102706,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
350974007,350973740,0.7395047,0.009174794,-0.0065529863,0.6730571,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
351474013,351473741,0.7384179,0.0103919655,-0.00621227,0.67423475,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
351974011,351973740,0.73781115,0.004447039,-0.0029178907,0.6749863,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
352474001,352473740,0.7371616,0.007308993,-0.0026622503,0.67567176,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
352974081,352973783,0.7377764,0.0084072165,-0.0031546582,0.67498547,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
353474004,353473741,0.73900557,0.008909612,-0.009708944,0.67357045,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
353974007,353973741,0.7392766,0.008990929,-0.009882129,0.67326945,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
354474010,354473741,0.7381638,0.011742038,-0.012489085,0.6744038,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
354974038,354973741,0.7372104,0.014735379,-0.018416854,0.6752514,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
355474003,355473741,0.7391827,0.011511733,-0.014570452,0.67324895,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
355974004,355973741,0.74161845,0.009933284,-0.008906163,0.6706893,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
356474017,356473743,0.7423222,0.011223789,-0.0059055844,0.66992307,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
356974007,356973741,0.741347,0.00516503,-0.007642233,0.67105854,0.70893836,6.6470396e-10,-1.0270237e-10,0.7052704,1
