timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
291744344,291643740,3407898,0.00063903304,0.0014128004,-0.0003781542,0.15,1.8085602e-07,1.8084194e-07,3.463141e-07,3407898,-0.015114178,-0.010435419,0.0007449295,0.4,0.00015840918,0.0003089747,1.1169428e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
292754195,292653740,3407898,0.0005935089,0.0015358888,-0.0003901035,0.15,1.8096753e-07,1.8095015e-07,3.4532468e-07,3407898,-0.014999518,-0.010345076,0.0009388286,0.4,0.00015845956,0.0003090597,1.11587215e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
293764371,293663741,3407898,0.0007017889,0.0015041317,-0.0004079482,0.15,1.8087066e-07,1.8077918e-07,3.4341306e-07,3407898,-0.015032335,-0.010364409,0.00081067294,0.4,0.00015851235,0.0003091379,1.1145217e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
294774341,294673741,3407898,0.00068859133,0.0014617471,-0.00041182796,0.15,1.8091426e-07,1.8078926e-07,3.424129e-07,3407898,-0.015149952,-0.010409119,0.0006393637,0.4,0.00015856606,0.0003092097,1.113521e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
295784194,295683741,3407898,0.0006408836,0.0013886621,-0.0004184494,0.15,1.809694e-07,1.8089658e-07,3.4201412e-07,3407898,-0.015307308,-0.010475958,0.00044861232,0.4,0.00015862029,0.00030928283,1.1126002e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
296794213,296693741,3407898,0.00063888484,0.0013849811,-0.00041124638,0.15,1.8109913e-07,1.8105396e-07,3.4126973e-07,3407898,-0.015394362,-0.010487516,0.00028192904,0.4,0.00015867854,0.00030936569,1.1116995e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
297804200,297703741,3407898,0.0006828787,0.0014987468,-0.0004073932,0.15,1.8086634e-07,1.8082726e-07,3.4022284e-07,3407898,-0.015353792,-0.010387291,0.00031899146,0.4,0.00015873753,0.00030944898,1.1103843e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
298814189,298713740,3407898,0.0007058872,0.0014788919,-0.00040054505,0.15,1.8119273e-07,1.8111498e-07,3.3971412e-07,3407898,-0.015487637,-0.010395797,1.231057e-05,0.4,0.00015879191,0.00030950693,1.1096527e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
299824359,299723741,3407898,0.00066101685,0.0014673391,-0.00039879332,0.15,1.8106576e-07,1.8094721e-07,3.3958878e-07,3407898,-0.015629685,-0.010431193,-0.0001300358,0.4,0.00015883276,0.00030952302,1.1085544e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
300834209,300733741,3407898,0.0006374316,0.0014030933,-0.00039559542,0.15,1.8125901e-07,1.8114916e-07,3.404002e-07,3407898,-0.015765117,-0.010561475,-0.00028996458,0.4,0.00015888466,0.00030958327,1.1077652e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
301844191,301743741,3407898,0.0005815392,0.0013733748,-0.00039418574,0.15,1.810911e-07,1.8102361e-07,3.3970352e-07,3407898,-0.015804842,-0.010544794,-0.0003741773,0.4,0.00015894415,0.0003096731,1.1066295e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
302854348,302753742,3407898,0.000639232,0.0014815084,-0.00040136295,0.15,1.8101976e-07,1.8096334e-07,3.3943823e-07,3407898,-0.015913758,-0.01060819,-0.0005160698,0.4,0.00015900409,0.00030976074,1.1056309e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
303864398,303763741,3407898,0.0006246193,0.0015261322,-0.00039363198,0.15,1.811123e-07,1.8102871e-07,3.3890174e-07,3407898,-0.016011376,-0.010648923,-0.00072161166,0.4,0.00015906275,0.00030984287,1.1047923e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
304874335,304773741,3407898,0.00063818606,0.0013911516,-0.00039416857,0.15,1.8110958e-07,1.8099574e-07,3.387234e-07,3407898,-0.016153278,-0.010573082,-0.0009511738,0.4,0.00015912173,0.00030992646,1.1039167e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
305884183,305783741,3407898,0.00064054166,0.0014091004,-0.00038843133,0.15,1.8138326e-07,1.8129751e-07,3.3918047e-07,3407898,-0.016093541,-0.010560011,-0.0008495097,0.4,0.00015918276,0.00031001473,1.1033762e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
306894206,306793741,3407898,0.00054796797,0.0013451582,-0.00038606,0.15,1.8122671e-07,1.811714e-07,3.3871558e-07,3407898,-0.016245993,-0.010673545,-0.0010567176,0.4,0.00015923785,0.0003100961,1.102242e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
307904191,307803741,3407898,0.0005473438,0.0014660496,-0.00039457224,0.15,1.8108898e-07,1.8103955e-07,3.3808027e-07,3407898,-0.016309006,-0.0106615275,-0.0011561805,0.4,0.00015929237,0.00031018432,1.10127385e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
308914186,308813741,3407898,0.00059761567,0.0014963056,-0.00039848758,0.15,1.8113481e-07,1.8106158e-07,3.372256e-07,3407898,-0.016431391,-0.010683689,-0.0013445129,0.4,0.00015934875,0.00031027244,1.1004987e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
309924333,309823741,3407898,0.00065630116,0.0014474365,-0.0004036053,0.15,1.8095852e-07,1.8082466e-07,3.3601563e-07,3407898,-0.016617624,-0.010675239,-0.0016334921,0.4,0.00015940801,0.00031035984,1.0994671e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
310934334,310833741,3407898,0.0006206592,0.0013455002,-0.0004040968,0.15,1.8112596e-07,1.8100262e-07,3.352337e-07,3407898,-0.016796408,-0.010707491,-0.001962529,0.4,0.00015947378,0.00031045033,1.0988746e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
311944187,311843741,3407898,0.00062326994,0.0012804775,-0.00040171735,0.15,1.8098909e-07,1.809131e-07,3.3473307e-07,3407898,-0.016873542,-0.010740957,-0.002099276,0.4,0.00015953818,0.00031053988,1.098026e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
312954338,312853741,3407898,0.0006271354,0.0013018319,-0.00039604702,0.15,1.8080817e-07,1.8076577e-07,3.335164e-07,3407898,-0.017017692,-0.010744968,-0.002363785,0.4,0.00015959979,0.00031062943,1.0970642e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
313964341,313863741,3407898,0.00058151403,0.0014658279,-0.00039315902,0.15,1.810246e-07,1.8097204e-07,3.3353578e-07,3407898,-0.017096326,-0.010737832,-0.0024660996,0.4,0.00015966324,0.0003107197,1.0965145e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
314974177,314873741,3407898,0.0005495233,0.0014203555,-0.00038138928,0.15,1.813629e-07,1.8123995e-07,3.3331287e-07,3407898,-0.017123947,-0.010766562,-0.0025094477,0.4,0.00015972841,0.0003108091,1.0960375e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
315984344,315883741,3407898,0.0006063534,0.0013444436,-0.0003796339,0.15,1.8126299e-07,1.8108551e-07,3.328771e-07,3407898,-0.017135926,-0.010798063,-0.0025542579,0.4,0.00015979604,0.00031089768,1.0951346e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
316994336,316893741,3407898,0.000653931,0.0013046002,-0.00036715806,0.15,1.8094872e-07,1.8085086e-07,3.3246988e-07,3407898,-0.017195808,-0.010798804,-0.0027081151,0.4,0.00015986573,0.00031098697,1.0942082e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
318004330,317903741,3407898,0.00065839384,0.0012643457,-0.00036244627,0.15,1.8092909e-07,1.8086806e-07,3.3233476e-07,3407898,-0.017332034,-0.010801654,-0.0030110988,0.4,0.000159937,0.00031107705,1.0935692e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
319014179,318913741,3407898,0.00061047706,0.001263307,-0.00035717298,0.15,1.8099236e-07,1.8093148e-07,3.3178193e-07,3407898,-0.017328268,-0.010787992,-0.002997347,0.4,0.00016000717,0.00031116736,1.0930019e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
320024395,319923740,3407898,0.0005700642,0.001311552,-0.00034955627,0.15,1.8116309e-07,1.8108294e-07,3.3142368e-07,3407898,-0.01730496,-0.010801084,-0.0029538774,0.4,0.00016007748,0.0003112581,1.09246e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
321034330,320933741,3407898,0.00060519594,0.0014039521,-0.00034773714,0.15,1.810526e-07,1.8094032e-07,3.308725e-07,3407898,-0.01732505,-0.010822072,-0.002955791,0.4,0.00016014875,0.0003113476,1.09160555e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
322044332,321943741,3407898,0.000598364,0.0013398112,-0.00034650773,0.15,1.810508e-07,1.8091184e-07,3.3095893e-07,3407898,-0.01734833,-0.01080738,-0.0030107857,0.4,0.0001602221,0.00031143872,1.0909732e-05,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
