timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
354792761,354792685,3407882,-0.18754795,0.110049,0.03215869,37.620773,0,0,0,0,8
355794024,355793947,3407882,-0.12637816,-0.05043635,0.011607772,37.54529,0,0,0,0,8
356791511,356791435,3407882,-0.1225311,0.012715257,-0.025280628,37.68116,0,0,0,0,8
357792761,357792685,3407882,-0.3023433,0.189663,0.049004115,37.68116,0,0,0,0,8
358792761,358792685,3407882,-0.14351502,-0.071653426,0.007211141,37.5151,0,0,0,0,8
359794033,359793955,3407882,0.16252546,0.17902115,-0.052393183,37.620773,0,0,0,0,8
360791511,360791435,3407882,-0.13812749,-0.024939222,-0.05350067,37.5,0,0,0,0,8
361792761,361792685,3407882,0.074925914,0.057997223,0.04008595,37.5,0,0,0,0,8
362794018,362793948,3407882,-0.41181776,-0.1911202,-0.0067852763,37.61215,0,0,0,0,7
363791511,363791435,3407882,-0.07324387,0.016870406,-0.070112936,37.477356,0,0,0,0,8
364792760,364792685,3407882,0.3869368,-0.1400177,0.049770195,37.5151,0,0,0,0,8
365792761,365792685,3407882,-0.06287682,0.11470377,-0.13397233,37.60568,0,0,0,0,8
366794025,366793948,3407882,0.11867572,-0.0027145864,0.072694294,37.5,0,0,0,0,8
367791511,367791435,3407882,-0.19255245,-0.010233824,0.010458652,37.462257,0,0,0,0,8
368792761,368792685,3407882,-0.16150124,-0.028761294,-0.016620597,37.5,0,0,0,0,8
369794017,369793947,3407882,0.010315904,-0.014151061,0.017577007,37.517254,0,0,0,0,7
370791511,370791435,3407882,-0.06062854,-0.17449129,0.04869602,37.620773,0,0,0,0,8
371792761,371792685,3407882,-0.47066432,0.32709935,0.05891319,37.560387,0,0,0,0,8
372792761,372792685,3407882,0.49160662,-0.10057293,-0.05691472,37.5,0,0,0,0,8
373794029,373793947,3407882,-0.14304872,-0.08679183,0.028653042,37.575485,0,0,0,0,8
374791511,374791435,3407882,-0.3737636,0.12548718,0.054308385,37.454712,0,0,0,0,8
375792761,375792685,3407882,0.06778972,0.091005266,0.037029956,37.41697,0,0,0,0,8
376794025,376793949,3407882,0.17463285,0.10656834,-0.08345272,37.484905,0,0,0,0,8
377791511,377791435,3407882,0.005995406,-0.033657543,0.09777507,37.477356,0,0,0,0,8
378792786,378792707,3407882,-0.109491095,-0.04145157,-0.01942678,37.454712,0,0,0,0,8
379792761,379792685,3407882,-0.021575134,-0.008776608,0.022807522,37.49245,0,0,0,0,8
380794031,380793951,3407882,0.13711992,0.009068051,-0.064109206,37.49245,0,0,0,0,8
381791511,381791435,3407882,0.18786438,0.098407924,-0.030368395,37.439613,0,0,0,0,8
382792764,382792688,3407882,-0.184442,-0.19365993,-0.006811447,37.5,0,0,0,0,8
383794026,383793948,3407882,0.119991384,-0.005554077,0.014788668,37.5,0,0,0,0,8
384791511,384791435,3407882,0.030010337,0.040452335,-0.044074558,37.303745,0,0,0,0,8
385792761,385792685,3407882,0.09716721,0.031450897,-0.04056891,37.5,0,0,0,0,8
386792761,386792685,3407882,0.3091048,-0.008276991,-0.027903618,37.439613,0,0,0,0,8
387794033,387793955,3407882,-0.19248584,0.012090735,0.005004498,37.198067,0,0,0,0,8
388791511,388791435,3407882,0.017661465,-0.016437404,0.059662614,37.477356,0,0,0,0,8
389792761,389792685,3407882,-0.17791367,-0.016828772,-0.019293549,37.371677,0,0,0,0,8
390794026,390793950,3407882,0.11180599,-0.05060289,0.07915601,37.160328,0,0,0,0,8
391791511,391791435,3407882,-0.080130264,0.051335663,-0.04376646,37.379227,0,0,0,0,8
392792761,392792685,3407882,0.13838562,0.17262605,-0.02002632,37.386776,0,0,0,0,8
393792761,393792685,3407882,0.17793864,0.10556077,-0.06517506,37.2811,0,0,0,0,8
394794024,394793948,3407882,-0.07958069,-0.08736639,-0.061652757,37.364132,0,0,0,0,8
395791511,395791435,3407882,-0.5101424,0.13081641,0.15472311,37.454712,0,0,0,0,8
396792761,396792685,3407882,0.085342936,0.09597646,0.029768854,37.379227,0,0,0,0,8
