timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
425569705,1781807282940147,-1781806857370685,-1781806857369242,480,2
426575529,1781807283945915,-1781806857370820,-1781806857369249,863,2
427580587,1781807284950977,-1781806857371090,-1781806857369256,1393,2
428585496,1781807285955957,-1781806857371014,-1781806857369264,1101,2
429590038,1781807286960404,-1781806857370797,-1781806857369270,855,2
430595601,1781807287966063,-1781806857370886,-1781806857369277,841,2
431600048,1781807288970454,-1781806857370776,-1781806857369284,732,2
432605540,1781807289975882,-1781806857370913,-1781806857369291,1137,2
433610222,1781807290980546,-1781806857370824,-1781806857369297,908,2
434615964,1781807291986174,-1781806857370906,-1781806857369304,1386,2
435619740,1781807292990270,-1781806857370800,-1781806857369311,534,2
436625497,1781807293995980,-1781806857371009,-1781806857369318,1047,2
437630228,1781807295000567,-1781806857370834,-1781806857369324,985,2
438631636,1781807296002079,-1781806857370776,-1781806857369330,661,2
439635336,1781807297005834,-1781806857370946,-1781806857369337,889,2
440639814,1781807298010415,-1781806857370922,-1781806857369344,634,2
441646152,1781807299016327,-1781806857370841,-1781806857369350,1324,2
442650328,1781807300020786,-1781806857370974,-1781806857369358,1025,2
443655597,1781807301026118,-1781806857371096,-1781806857369365,1144,2
444659513,1781807302030089,-1781806857371104,-1781806857369373,1051,2
445666804,1781807303037099,-1781806857371434,-1781806857369381,2270,2
446669968,1781807304040530,-1781806857370943,-1781806857369388,756,2
447675580,1781807305046191,-1781806857371180,-1781806857369395,1133,2
448680445,1781807306051079,-1781806857371193,-1781806857369403,1113,2
449685594,1781807307056258,-1781806857371247,-1781806857369410,1161,2
450690167,1781807308060683,-1781806857370992,-1781806857369417,946,2
451695640,1781807309066282,-1781806857371141,-1781806857369425,993,2
452699982,1781807310070635,-1781806857371012,-1781806857369432,712,2
453705969,1781807311076475,-1781806857371271,-1781806857369440,1525,2
454710024,1781807312080670,-1781806857371049,-1781806857369447,800,2
455715697,1781807313086329,-1781806857371215,-1781806857369455,1160,2
456719167,1781807314089857,-1781806857371054,-1781806857369462,723,2
457719815,1781807315090542,-1781806857371047,-1781806857369469,633,2
458725309,1781807316096092,-1781806857371168,-1781806857369476,764,2
459729929,1781807317100718,-1781806857371129,-1781806857369484,672,2
460735592,1781807318106371,-1781806857371224,-1781806857369491,884,2
461740200,1781807319110868,-1781806857371184,-1781806857369499,990,2
462745588,1781807320116400,-1781806857371295,-1781806857369507,960,2
463749682,1781807321120501,-1781806857371069,-1781806857369514,493,2
464755442,1781807322126206,-1781806857371192,-1781806857369522,851,2
465760042,1781807323130813,-1781806857371161,-1781806857369529,773,2
466765480,1781807324136326,-1781806857371298,-1781806857369537,896,2
467770171,1781807325140901,-1781806857371198,-1781806857369545,931,2
468775613,1781807326146433,-1781806857371335,-1781806857369552,1024,2
469779812,1781807327150727,-1781806857371226,-1781806857369560,615,2
470786268,1781807328157151,-1781806857371712,-1781806857369569,1651,2
471790943,1781807329161412,-1781806857371343,-1781806857369577,1742,2
472796216,1781807330166720,-1781806857371266,-1781806857369584,1519,2
473799769,1781807331170690,-1781806857371217,-1781806857369592,587,2
474803140,1781807332174040,-1781806857371257,-1781806857369599,709,2
475806152,1781807333176720,-1781806857371303,-1781806857369607,1462,2
476809823,1781807334180784,-1781806857371277,-1781806857369615,626,2
477816062,1781807335186985,-1781806857371761,-1781806857369624,1671,2
478819916,1781807336190935,-1781806857371390,-1781806857369632,734,2
479825381,1781807337196350,-1781806857371439,-1781806857369640,932,2
480829875,1781807338200879,-1781806857371346,-1781806857369648,678,2
481835564,1781807339206569,-1781806857371500,-1781806857369656,985,2
482840391,1781807340211393,-1781806857371512,-1781806857369665,1015,2
483845585,1781807341216619,-1781806857371524,-1781806857369673,973,2
484850249,1781807342221141,-1781806857371424,-1781806857369681,1056,2
485855714,1781807343226714,-1781806857371539,-1781806857369689,1072,2
486859892,1781807344230916,-1781806857371381,-1781806857369697,706,2
487865322,1781807345236265,-1781806857371416,-1781806857369705,941,2
488869801,1781807346240920,-1781806857371423,-1781806857369713,601,2
489876148,1781807347247177,-1781806857371779,-1781806857369722,1494,2
490879826,1781807348250958,-1781806857371425,-1781806857369730,580,2
491885337,1781807349256483,-1781806857371522,-1781806857369738,747,2
492890035,1781807350261103,-1781806857371483,-1781806857369746,825,2
493895681,1781807351266814,-1781806857371611,-1781806857369755,949,2
494900362,1781807352271509,-1781806857371738,-1781806857369764,1176,2
495905470,1781807353276643,-1781806857371713,-1781806857369773,1075,2
496910245,1781807354281257,-1781806857371493,-1781806857369781,955,2
497915982,1781807355286907,-1781806857371704,-1781806857369790,1551,2
498919951,1781807356291136,-1781806857371569,-1781806857369798,761,2
