timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
388838286,1200.0,0.29984155,553.4659,0.0,6684,0,16.8317,387,0,0,0,100,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389078331,1200.0,0.29984155,553.4659,0.0,6687,0,16.8317,387,0,0,0,100,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390338288,1200.0,0.29984155,508.9109,0.0,6710,0,16.831684,388,0,0,0,100,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391598287,1200.0,0.29984155,598.95355,0.0,6727,0,16.830101,390,0,0,0,100,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392858303,1200.0,0.29984155,623.82104,0.0,6747,0,16.833267,391,0,0,0,102,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393868283,1200.0,0.29984155,426.73267,0.0,6764,0,16.831684,392,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394108238,1200.0,0.29984155,426.73267,0.0,6768,0,16.831684,392,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395368310,1200.0,0.29984155,365.35413,0.0,6787,0,16.832033,394,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396628239,1200.0,0.29984155,495.05,0.0,6803,0,16.8317,395,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397888241,1200.0,0.29984155,618.9715,0.0,6824,0,16.999218,396,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398888387,1200.0,0.29984155,495.07205,0.0,6840,0,16.83245,397,0,0,0,104,0.0,0,0,1,1,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
