timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
366987145,0,0,0,0,0
367493165,0,0,0,0,0
367999163,0,0,0,0,0
368505199,0,0,0,0,0
369011143,0,0,0,0,0
369517145,0,0,0,0,0
370023145,0,0,0,0,0
370529143,0,0,0,0,0
371035294,0,0,0,0,0
371541143,0,0,0,0,0
372047154,0,0,0,0,0
372553144,0,0,0,0,0
373059143,0,0,0,0,0
373565176,0,0,0,0,0
374071145,0,0,0,0,0
374577144,0,0,0,0,0
375083145,0,0,0,0,0
375589144,0,0,0,0,0
376095178,0,0,0,0,0
376601143,0,0,0,0,0
377107144,0,0,0,0,0
377613145,0,0,0,0,0
378119144,0,0,0,0,0
378625180,0,0,0,0,0
379131144,0,0,0,0,0
379637144,0,0,0,0,0
380143144,0,0,0,0,0
380649163,0,0,0,0,0
381155253,0,0,0,0,0
381661144,0,0,0,0,0
382167145,0,0,0,0,0
382673144,0,0,0,0,0
383179144,0,0,0,0,0
383685199,0,0,0,0,0
384191145,0,0,0,0,0
384697144,0,0,0,0,0
385203144,0,0,0,0,0
385709144,0,0,0,0,0
386215176,0,0,0,0,0
386721143,0,0,0,0,0
387227144,0,0,0,0,0
387733165,0,0,0,0,0
388239163,0,0,0,0,0
388745183,0,0,0,0,0
389251143,0,0,0,0,0
389757145,0,0,0,0,0
390263144,0,0,0,0,0
390769144,0,0,0,0,0
391275178,0,0,0,0,0
391781144,0,0,0,0,0
392287144,0,0,0,0,0
392793143,0,0,0,0,0
393299143,0,0,0,0,0
393805175,0,0,0,0,0
394311143,0,0,0,0,0
394817146,0,0,0,0,0
395323144,0,0,0,0,0
395829144,0,0,0,0,0
396335175,0,0,0,0,0
396841145,0,0,0,0,0
397347145,0,0,0,0,0
397853144,0,0,0,0,0
398359144,0,0,0,0,0
398865224,0,0,0,0,0
399371144,0,0,0,0,0
399877144,0,0,0,0,0
400383145,0,0,0,0,0
400889144,0,0,0,0,0
401395177,0,0,0,0,0
401901143,0,0,0,0,0
402407145,0,0,0,0,0
402913145,0,0,0,0,0
403419144,0,0,0,0,0
403925178,0,0,0,0,0
404431143,0,0,0,0,0
404937145,0,0,0,0,0
405443144,0,0,0,0,0
405949144,0,0,0,0,0
406455178,0,0,0,0,0
406961144,0,0,0,0,0
407467145,0,0,0,0,0
407973145,0,0,0,0,0
408479144,0,0,0,0,0
408985177,0,0,0,0,0
409491144,0,0,0,0,0
409997144,0,0,0,0,0
410503144,0,0,0,0,0
411009144,0,0,0,0,0
411515211,0,0,0,0,0
412021147,0,0,0,0,0
412527144,0,0,0,0,0
413033144,0,0,0,0,0
413539144,0,0,0,0,0
414045201,0,0,0,0,0
414551144,0,0,0,0,0
415057145,0,0,0,0,0
415563145,0,0,0,0,0
416069143,0,0,0,0,0
416575176,0,0,0,0,0
417081144,0,0,0,0,0
417587145,0,0,0,0,0
418093145,0,0,0,0,0
418599144,0,0,0,0,0
419105176,0,0,0,0,0
419611143,0,0,0,0,0
420117144,0,0,0,0,0
420623163,0,0,0,0,0
421129163,0,0,0,0,0
421635177,0,0,0,0,0
422141144,0,0,0,0,0
422647144,0,0,0,0,0
423153144,0,0,0,0,0
423659143,0,0,0,0,0
424165177,0,0,0,0,0
424671144,0,0,0,0,0
425177145,0,0,0,0,0
425683208,0,0,0,0,0
426189144,0,0,0,0,0
426695238,0,0,0,0,0
427201164,0,0,0,0,0
427707144,0,0,0,0,0
428213144,0,0,0,0,0
428719144,0,0,0,0,0
429225203,0,0,0,0,0
429731143,0,0,0,0,0
430237144,0,0,0,0,0
430743144,0,0,0,0,0
431249172,0,0,0,0,0
431755199,0,0,0,0,0
432261144,0,0,0,0,0
432767145,0,0,0,0,0
433273145,0,0,0,0,0
433779144,0,0,0,0,0
434285240,0,0,0,0,0
434791164,0,0,0,0,0
435297164,0,0,0,0,0
435803144,0,0,0,0,0
436309143,0,0,0,0,0
436815180,0,0,0,0,0
437321144,0,0,0,0,0
437827144,0,0,0,0,0
438333145,0,0,0,0,0
438839144,0,0,0,0,0
439345178,0,0,0,0,0
439851144,0,0,0,0,0
440357144,0,0,0,0,0
440863144,0,0,0,0,0
441369144,0,0,0,0,0
441875175,0,0,0,0,0
442381146,0,0,0,0,0
442887144,0,0,0,0,0
443393145,0,0,0,0,0
443899154,0,0,0,0,0
444405177,0,0,0,0,0
444911145,0,0,0,0,0
445417144,0,0,0,0,0
445923144,0,0,0,0,0
446429143,0,0,0,0,0
446935199,0,0,0,0,0
447441162,0,0,0,0,0
447947144,0,0,0,0,0
448453144,0,0,0,0,0
448959143,0,0,0,0,0
449465177,0,0,0,0,0
449971143,0,0,0,0,0
450477145,0,0,0,0,0
450983144,0,0,0,0,0
451489144,0,0,0,0,0
451995176,0,0,0,0,0
452501163,0,0,0,0,0
453007164,0,0,0,0,0
453513147,0,0,0,0,0
454019144,0,0,0,0,0
454525248,0,0,0,0,0
455031144,0,0,0,0,0
455537144,0,0,0,0,0
456043144,0,0,0,0,0
456549143,0,0,0,0,0
457055176,0,0,0,0,0
457561144,0,0,0,0,0
458067144,0,0,0,0,0
458573144,0,0,0,0,0
459079144,0,0,0,0,0
459585178,0,0,0,0,0
460091143,0,0,0,0,0
460597145,0,0,0,0,0
461103144,0,0,0,0,0
461609145,0,0,0,0,0
462115179,0,0,0,0,0
462621143,0,0,0,0,0
463127144,0,0,0,0,0
463633164,0,0,0,0,0
464139173,0,0,0,0,0
464645224,0,0,0,0,0
465151143,0,0,0,0,0
465657146,0,0,0,0,0
466163144,0,0,0,0,0
466669144,0,0,0,0,0
467175177,0,0,0,0,0
467681146,0,0,0,0,0
468187145,0,0,0,0,0
468693144,0,0,0,0,0
469199144,0,0,0,0,0
469705176,0,0,0,0,0
470211143,0,0,0,0,0
470717145,0,0,0,0,0
471223145,0,0,0,0,0
471729144,0,0,0,0,0
472235177,0,0,0,0,0
472741144,0,0,0,0,0
473247144,0,0,0,0,0
473753145,0,0,0,0,0
474259143,0,0,0,0,0
474765177,0,0,0,0,0
475271144,0,0,0,0,0
475777144,0,0,0,0,0
476283146,0,0,0,0,0
476789144,0,0,0,0,0
477295175,0,0,0,0,0
477801143,0,0,0,0,0
478307144,0,0,0,0,0
478813144,0,0,0,0,0
479319144,0,0,0,0,0
479825176,0,0,0,0,0
480331144,0,0,0,0,0
480837144,0,0,0,0,0
481343145,0,0,0,0,0
481849143,0,0,0,0,0
482355208,0,0,0,0,0
482861145,0,0,0,0,0
483367145,0,0,0,0,0
483873144,0,0,0,0,0
484379144,0,0,0,0,0
484885177,0,0,0,0,0
485391143,0,0,0,0,0
485897145,0,0,0,0,0
486403144,0,0,0,0,0
486909143,0,0,0,0,0
487415239,0,0,0,0,0
487921143,0,0,0,0,0
488427144,0,0,0,0,0
488933144,0,0,0,0,0
489439163,0,0,0,0,0
489945220,0,0,0,0,0
490451143,0,0,0,0,0
490957145,0,0,0,0,0
491463144,0,0,0,0,0
491969143,0,0,0,0,0
492475178,0,0,0,0,0
492981145,0,0,0,0,0
493487164,0,0,0,0,0
493993164,0,0,0,0,0
494499143,0,0,0,0,0
495005317,0,0,0,0,0
495511143,0,0,0,0,0
496017146,0,0,0,0,0
496523145,0,0,0,0,0
497029144,0,0,0,0,0
497535213,0,0,0,0,0
498041164,0,0,0,0,0
498547144,0,0,0,0,0
499053144,0,0,0,0,0
499559144,0,0,0,0,0
500065178,0,0,0,0,0
500571144,0,0,0,0,0
501077144,0,0,0,0,0
501583151,0,0,0,0,0
502089144,0,0,0,0,0
502595177,0,0,0,0,0
503101144,0,0,0,0,0
503607145,0,0,0,0,0
504113144,0,0,0,0,0
504619145,0,0,0,0,0
505125199,0,0,0,0,0
505631165,0,0,0,0,0
506137164,0,0,0,0,0
506643144,0,0,0,0,0
507149144,0,0,0,0,0
507655200,0,0,0,0,0
508161143,0,0,0,0,0
508667145,0,0,0,0,0
509173145,0,0,0,0,0
509679144,0,0,0,0,0
510185230,0,0,0,0,0
510691143,0,0,0,0,0
511197144,0,0,0,0,0
511703143,0,0,0,0,0
512209145,0,0,0,0,0
512715303,0,0,0,0,0
513221143,0,0,0,0,0
513727146,0,0,0,0,0
514233145,0,0,0,0,0
514739144,0,0,0,0,0
515245177,0,0,0,0,0
515751163,0,0,0,0,0
516257164,0,0,0,0,0
516763149,0,0,0,0,0
517269145,0,0,0,0,0
517775238,0,0,0,0,0
518281171,0,0,0,0,0
518787165,0,0,0,0,0
519293165,0,0,0,0,0
519799144,0,0,0,0,0
520305199,0,0,0,0,0
520811144,0,0,0,0,0
521317145,0,0,0,0,0
521823144,0,0,0,0,0
522329144,0,0,0,0,0
522835180,0,0,0,0,0
523341163,0,0,0,0,0
523847174,0,0,0,0,0
524353164,0,0,0,0,0
524859144,0,0,0,0,0
525365228,0,0,0,0,0
525871143,0,0,0,0,0
526377144,0,0,0,0,0
526883144,0,0,0,0,0
527389144,0,0,0,0,0
527895179,0,0,0,0,0
528401143,0,0,0,0,0
528907144,0,0,0,0,0
529413145,0,0,0,0,0
529919144,0,0,0,0,0
530425175,0,0,0,0,0
530931144,0,0,0,0,0
531437144,0,0,0,0,0
531943145,0,0,0,0,0
532449151,0,0,0,0,0
532955226,0,0,0,0,0
533458145,0,0,0,0,0
533965180,0,0,0,0,0
