timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
399024331,399023359,396809,-0.2913297,0.16763732,0.20987448,3
399473769,399472782,396809,-0.28749317,0.16621222,0.20842825,3
400074340,400073369,396809,-0.28901097,0.16764185,0.20988487,3
400523926,400522931,396809,-0.2960427,0.16778052,0.20533721,3
400973168,400972197,396809,-0.29050085,0.16380347,0.21374647,3
401573491,401572520,396809,-0.2912696,0.16602707,0.21368012,3
402023312,402022341,396809,-0.29114932,0.16280653,0.22129142,3
402472698,402471710,396809,-0.2864643,0.16123067,0.22436512,3
403071739,403070768,396809,-0.28500935,0.1599279,0.21914476,3
403521211,403520240,396809,-0.28571376,0.16276632,0.22282118,3
403970510,403969539,396809,-0.28269064,0.15993242,0.21915516,3
404571172,404570201,396809,-0.28428125,0.16299771,0.21605341,3
405020474,405019502,396809,-0.28433996,0.16534968,0.2122268,3
405469765,405468794,396809,-0.28672022,0.16621372,0.20843172,3
406070435,406069464,396809,-0.28593338,0.16023088,0.21010837,3
406519664,406518692,396809,-0.28973645,0.15935478,0.21387573,3
406969170,406968199,396809,-0.2889286,0.15779676,0.21617934,3
407568085,407567116,396809,-0.28584668,0.15931156,0.21539854,3
408017657,408016603,396809,-0.28271583,0.15998317,0.21764968,3
408467193,408466219,396809,-0.28355172,0.16010854,0.21388248,3
409067674,409066703,396809,-0.28584105,0.16227837,0.2153147,3
409516896,409515926,396809,-0.28429383,0.16302308,0.21530066,3
409966451,409965454,396809,-0.28437492,0.16690919,0.20992664,3
410567091,410566121,396809,-0.2891215,0.16935362,0.20306826,3
411016456,411015458,396809,-0.2891215,0.16935362,0.20306826,3
411465854,411464883,396809,-0.29132548,0.16986243,0.20981158,3
412064937,412063967,396809,-0.28432608,0.15936533,0.21389997,3
412514541,412513570,396809,-0.28664055,0.1615859,0.21382669,3
412965027,412964041,396809,-0.28503454,0.15997864,0.21763928,3
413563930,413562957,396809,-0.28351536,0.1592907,0.21616168,3
414013154,414012183,396809,-0.2859572,0.16102333,0.20858191,3
414463029,414462059,396809,-0.2929134,0.16100976,0.20855072,3
415063152,415062182,396809,-0.29364285,0.16389893,0.21072163,3
415512672,415511702,396809,-0.28892848,0.16449744,0.21523795,3
415961890,415960919,396809,-0.28975034,0.16533913,0.21220252,3
416561428,416560448,396809,-0.2887579,0.1611754,0.22586021,3
417010655,417009685,396809,-0.2841651,0.16425274,0.22278617,3
417461169,417460199,396809,-0.2826613,0.16210678,0.22059776,3
418060176,418059206,396809,-0.284249,0.16665545,0.21745409,3
418509895,418508924,396809,-0.29203546,0.16973406,0.21357183,3
418959427,418958438,396809,-0.29132128,0.17208754,0.2097487,3
419559595,419558624,396809,-0.28832057,0.17078778,0.20453528,3
420009056,420008064,396809,-0.2852289,0.17079382,0.20454915,3
420458804,420457833,396809,-0.28827998,0.17219506,0.2067516,3
421057676,421056705,396809,-0.29286426,0.17356792,0.20969984,3
421508319,421507349,396809,-0.29045045,0.17040265,0.21581605,3
422085503,422031246,396809,-0.28863657,0.16480112,0.21723592,3
422557092,422556122,396809,-0.2913018,0.16236931,0.21227944,3
423006474,423005503,396809,-0.29364285,0.16389893,0.21072163,3
423455592,423454622,396809,-0.29209986,0.16241854,0.21077049,3
424055936,424054965,396809,-0.2890543,0.17145185,0.2067691,3
424505725,424504754,396809,-0.28582138,0.17266217,0.21502122,3
425083098,425028860,396809,-0.2859089,0.17332327,0.21738337,3
425554169,425553198,396809,-0.2795779,0.17106396,0.21885459,3
426004570,426003600,396809,-0.28504562,0.17414708,0.21498276,3
426582264,426527978,396809,-0.2881213,0.17350012,0.20834468,3
427053452,427052469,396809,-0.29066026,0.1730591,0.20295651,3
427502670,427501700,396809,-0.29610565,0.1679074,0.20157349,3
428081210,428026484,396809,-0.29456174,0.16245435,0.20223598,3
428552668,428551697,396809,-0.29448298,0.16179919,0.20701733,3
429002003,429001009,396809,-0.29134375,0.16022032,0.2100841,3
429579432,429525166,396809,-0.28718787,0.16039695,0.21974826,3
430051652,430050682,396809,-0.2895503,0.16419144,0.2242674,3
430501284,430500313,396809,-0.28879976,0.1657271,0.22272344,3
431078770,431024436,396809,-0.28350863,0.16745535,0.2230746,3
431549681,431548711,396809,-0.28514364,0.16243212,0.21080169,3
431999212,431998241,396809,-0.2912738,0.16380197,0.213743,3
432578030,432523474,396809,-0.29518816,0.16403052,0.2030659,3
433049174,433048203,396809,-0.29842582,0.16716117,0.20158404,3
433498443,433497473,396809,-0.29385972,0.1628469,0.1979669,3
434075759,434021495,396809,-0.29287955,0.1621825,0.21039765,3
434548345,434547373,396809,-0.28114626,0.15919374,0.21918306,3
434997682,434996708,396809,-0.28407982,0.16259173,0.2280973,3
435575040,435520794,396809,-0.28035498,0.16572326,0.22702307,3
436046171,436045200,396809,-0.27490973,0.1672884,0.22123842,3
436495633,436494663,396809,-0.2849911,0.16957,0.21887225,3
437074589,437020346,396809,-0.28629738,0.17098056,0.20992814,3
437545574,437544604,396809,-0.2852541,0.17084455,0.20304365,3
437994766,437993796,396809,-0.29058337,0.16694789,0.20839341,3
438572206,438517947,396809,-0.29157287,0.16860038,0.21059811,3
439044637,439043667,396809,-0.29128915,0.16904461,0.21209079,3
439494171,439493200,396809,-0.294427,0.1646645,0.20994447,3
440071457,440017175,396809,-0.28968415,0.16582611,0.21607423,3
440542655,440541601,396809,-0.28962576,0.17104435,0.21880953,3
440992457,440991487,396809,-0.28427976,0.17044008,0.21509105,3
441570913,441516666,396809,-0.28639144,0.17041396,0.21207431,3
442041892,442040922,396809,-0.285827,0.16969538,0.21510507,3
442491208,442490238,396809,-0.28967756,0.17040417,0.21581952,3
443070036,443014861,396809,-0.28838974,0.16781324,0.20850426,3
443541171,443540201,396809,-0.2898147,0.16472429,0.20845978,3
443990477,443989507,396809,-0.289018,0.16393335,0.20998968,3
444567727,444513440,396809,-0.29185063,0.16243598,0.21026981,3
445039211,445038239,396809,-0.2935604,0.16075452,0.2160747,3
445488627,445487656,396809,-0.28666997,0.15941155,0.21238409,3
446067207,446012961,396809,-0.28951895,0.16277498,0.21866783,3
446538093,446537123,396809,-0.28416795,0.16276933,0.2228281,3
446987988,446987017,396809,-0.28486803,0.16783287,0.2264416,3
447566474,447511345,396809,-0.28452086,0.16804859,0.21641085,3
448037533,448036561,396809,-0.28967896,0.16966246,0.21584047,3
448486897,448485926,396809,-0.2835628,0.16757628,0.21216737,3
449064974,449010675,396809,-0.28965646,0.16913247,0.20958912,3
449535866,449534894,396809,-0.29453468,0.16785967,0.20308593,3
449986289,449985318,396809,-0.29522085,0.16693884,0.20837262,3
450584941,450583970,396809,-0.29436544,0.16379593,0.21372914,3
451034942,451033970,396809,-0.29207468,0.16236779,0.21227598,3
451484425,451483435,396809,-0.2826599,0.16284847,0.22057681,3
452084209,452083237,396809,-0.28333062,0.16338567,0.22657433,3
452533899,452532841,396809,-0.27730545,0.15999372,0.21767394,3
452983630,452982653,396809,-0.28807166,0.16209622,0.2205735,3
453582383,453581413,396809,-0.2873183,0.16511528,0.21898763,3
454032095,454031124,396809,-0.28835982,0.16342153,0.20323943,3
454482679,454481708,396809,-0.29290354,0.16620167,0.20840399,3
455081566,455080595,396809,-0.29836428,0.16629261,0.20536874,3
455531430,455530450,396809,-0.29926303,0.16654484,0.19783784,3
455980636,455979665,396809,-0.2930546,0.16650614,0.19937105,3
456580504,456579533,396809,-0.28882495,0.16577785,0.22121796,3
457030642,457029671,396809,-0.2856955,0.17240843,0.22254865,3
457480036,457479063,396809,-0.28257725,0.17310542,0.22404703,3
458078712,458077741,396809,-0.2843231,0.17425008,0.21197525,3
458529703,458528732,396809,-0.28903055,0.17065941,0.20829552,3
458979357,458978385,396809,-0.2889704,0.16904914,0.21210118,3
459578034,459577063,396809,-0.29057083,0.16022183,0.21008757,3
460027939,460026968,396809,-0.29056525,0.15648796,0.21094513,3
460477189,460476217,396809,-0.2952111,0.15872939,0.2101087,3
461077465,461076493,396809,-0.2906282,0.15661483,0.20718141,3
461527191,461526219,396809,-0.2890391,0.15280785,0.21030413,3
461976691,461975718,396809,-0.28808293,0.15616262,0.2207412,3
462575222,462574237,396809,-0.28887394,0.15992036,0.21912743,3
463026692,463025718,396809,-0.28507093,0.16079646,0.21536009,3
463475890,463474918,396809,-0.2887579,0.1611754,0.22586021,3
464074659,464073687,396809,-0.28737292,0.16299167,0.21603955,3
464524384,464523413,396809,-0.2852066,0.16255899,0.20703796,3
464973625,464972654,396809,-0.29065758,0.16114116,0.2047974,3
465574020,465573008,396809,-0.2898944,0.16935211,0.2030648,3
466023927,466022944,396809,-0.29283917,0.16681649,0.21214674,3
466473099,466472128,396809,-0.29134098,0.16170372,0.21004218,3
467073492,467072520,396809,-0.28421274,0.15913695,0.2206747,3
467523340,467522369,396809,-0.2842659,0.15775505,0.21770564,3
467972551,467971579,396809,-0.28496882,0.16133519,0.22136107,3
468571281,468570310,396809,-0.28884175,0.16357811,0.22052811,3
469021171,469020200,396809,-0.2919529,0.16658963,0.21892491,3
469470937,469469965,396809,-0.2881192,0.16368112,0.2175206,3
470070679,470069690,396809,-0.28513804,0.16539893,0.21071783,3
470520368,470519397,396809,-0.28515062,0.16542429,0.2099651,3
470969682,470968711,396809,-0.29373232,0.17003553,0.20453198,3
471570027,471569040,396809,-0.29364982,0.1668911,0.20988505,3
472019683,472018712,396809,-0.28825212,0.16022635,0.21009797,3
472469104,472468123,396809,-0.28962734,0.1569013,0.2207133,3
473067727,473066756,396809,-0.29032883,0.16122313,0.22434779,3
473517939,473516968,396809,-0.28506953,0.16153817,0.21533912,3
473967267,473966297,396809,-0.28796953,0.16263494,0.22657448,3
474566936,474565948,396809,-0.2866293,0.16751951,0.21365899,3
475016774,475015803,396809,-0.2883486,0.16935512,0.20307173,3
475466452,475465455,396809,-0.2929818,0.17157118,0.20298804,3
476066281,476065311,396809,-0.29612797,0.17614222,0.19908467,3
476516169,476515199,396809,-0.28690898,0.17329502,0.19619915,3
476965479,476964508,396809,-0.2890823,0.17001921,0.20530553,3
477563029,477562058,396809,-0.2904575,0.16669415,0.21592087,3
478011624,478010654,396809,-0.2833936,0.16351254,0.2228106,3
478460434,478459464,396809,-0.28805062,0.16652106,0.22120047,3
479060035,479059064,396809,-0.2872721,0.16948935,0.22112007,3
479510151,479509092,396809,-0.28264305,0.16504821,0.22126666,3
479959546,479958576,396809,-0.2834719,0.16888207,0.21739465,3
480558159,480557188,396809,-0.2913269,0.16912073,0.20983255,3
481009132,481008158,396809,-0.29310778,0.16512424,0.196402,3
481458925,481457955,396809,-0.28909636,0.16260219,0.20551516,3
482057644,482056590,396809,-0.2952474,0.16624789,0.2068881,3
482507380,482506410,396809,-0.29118145,0.16584945,0.21894933,3
482956688,482955717,396809,-0.28582144,0.16596149,0.21596262,3
