timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
394087019,5.0312715,0.0,3.3043303,3.3316224,3.3282988,3.3263855,15,0,1,0,1,0,0,0,0,0
394597017,5.0399323,0.0,3.3021147,3.331018,3.326587,3.3277953,15,0,1,0,1,0,0,0,0,0
395087018,5.0356016,0.0,3.3239684,3.330313,3.3288023,3.324472,15,0,1,0,1,0,0,0,0,0
395587018,5.033789,0.0,3.3015106,3.3308165,3.3270905,3.3253784,15,0,1,0,1,0,0,0,0,0
396087018,5.0370116,0.0,3.3029206,3.3316224,3.3253784,3.327191,15,0,1,0,1,0,0,0,0,0
396587031,5.036105,0.0,3.3322265,3.3279967,3.3262846,3.3267882,15,0,1,0,1,0,0,0,0,0
397087019,5.0353,0.0,3.31138,3.327896,3.3273926,3.32558,15,0,1,0,1,0,0,0,0,0
397587018,5.011935,0.0,3.3366578,3.3292053,3.3234649,3.3259826,15,0,1,0,1,0,0,0,0,0
398097018,5.0298615,0.0,3.319638,3.3281982,3.3283997,3.3248749,15,0,1,0,1,0,0,0,0,0
398587018,5.0408387,0.0,3.305539,3.330716,3.327594,3.326184,15,0,1,0,1,0,0,0,0,0
399087018,5.0286527,0.0,3.3311188,3.3277953,3.329306,3.3248749,15,0,1,0,1,0,0,0,0,0
399587018,5.0364075,0.0,3.3233643,3.3297088,3.3267882,3.3285003,15,0,1,0,1,0,0,0,0,0
400087018,5.039026,0.0,3.3119843,3.3273926,3.325781,3.3273926,15,0,1,0,1,0,0,0,0,0
400587018,5.0354004,0.0,3.3022156,3.3308165,3.3233643,3.3238678,15,0,1,0,1,0,0,0,0,0
401087018,5.033688,0.0,3.3026183,3.330313,3.3286011,3.3246734,15,0,1,0,1,0,0,0,0,0
401597017,5.040436,0.0,3.3052368,3.3309174,3.3297088,3.3296082,15,0,1,0,1,0,0,0,0,0
402097018,5.036206,0.0,3.3352478,3.3282988,3.3273926,3.327896,15,0,1,0,1,0,0,0,0,0
402586997,5.040335,0.0,3.3070495,3.3322265,3.3288023,3.3282988,15,0,1,0,1,0,0,0,0,0
403087019,5.0358033,0.0,3.314502,3.3306153,3.3291047,3.3274932,15,0,1,0,1,0,0,0,0,0
403587018,5.015259,0.0,3.3315215,3.3276947,3.3282988,3.3269897,15,0,1,0,1,0,0,0,0,0
404087018,5.0391264,0.0,3.320645,3.3309174,3.330011,3.324774,15,0,1,0,1,0,0,0,0,0
404587018,5.042651,0.0,3.3290038,3.3296082,3.3266876,3.32558,15,0,1,0,1,0,0,0,0,0
405097018,5.0225096,0.0,3.305539,3.3308165,3.327191,3.3262846,15,0,1,0,1,0,0,0,0,0
405587018,5.0435576,0.0,3.3197386,3.3273926,3.3262846,3.3288023,15,0,1,0,1,0,0,0,0,0
406087018,5.037515,0.0,3.3345428,3.3305144,3.3226593,3.3281982,15,0,1,0,1,0,0,0,0,0
406587018,5.031372,0.0,3.3080566,3.3306153,3.3295074,3.3243713,15,0,1,0,1,0,0,0,0,0
407087018,5.033386,0.0,3.331421,3.3281982,3.3242705,3.3250763,15,0,1,0,1,0,0,0,0,0
407587018,5.035501,0.0,3.332126,3.3283997,3.3282988,3.3252776,15,0,1,0,1,0,0,0,0,0
