timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
447694565,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
448200200,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
448706153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
449212152,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
449718155,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
450224357,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
450730296,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
451236154,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
451742153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
452248172,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
452754544,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
453260280,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
453766153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
454272152,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
454778153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
455284437,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
455790198,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
456296157,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
456802152,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
457308204,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
457814462,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
458320216,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
458826281,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
459332153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
459838153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
460344538,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
460850232,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
461356177,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
461862152,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
462368174,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
462874342,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
463380249,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
463886174,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
464392152,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
464898153,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
465404599,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
465910196,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
466416157,267048381,268966230,177154611,2147411071,8307839,0,2,4,6,14,14,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
