timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
425506092,425405661,425405661,0,-0.065073974,-0.1273431,-0.9897217,1.0,1.0,1.0,0.036140528,0.1359661,-0.009822428,0.0018299894,0.0070095183,-0.010372793,1.0000106,1.0000122,1.0,0.020897983,0.29578492,0.0015436815,-0.0034708974,0.002988126,-0.002826955,1,0,1
426005969,425905661,425905661,0,0.14843921,0.1322937,-0.9800327,1.0,1.0,1.0,-0.16929036,-0.12347634,-0.019711137,-0.0036739993,0.010086694,-0.009734722,1.0000106,1.0000123,1.0,0.45854276,0.24393952,0.0062164627,-0.018856846,0.00900814,-0.0023975857,1,0,1
426506087,426405661,426405661,0,5.2200216e-05,0.0574859,-0.99834627,1.0,1.0,1.0,-0.02252408,-0.052041568,-0.001386404,-0.0025057122,0.0037252624,-0.01028975,1.0000106,1.0000123,1.0,0.00811726,0.043332662,3.0753858e-05,0.0038005048,0.007994056,-0.0032257019,1,0,1
426996087,426895661,426895661,0,0.024224546,-0.0023974918,-0.99970365,1.0,1.0,1.0,-0.039320704,0.005820645,-0.00017654896,0.0015129681,0.0025926826,-0.008827137,1.0000107,1.0000123,1.0,0.024737619,0.0005420719,4.9871255e-07,0.0054074507,0.010801328,-0.0023709007,1,0,1
427495932,427395661,427395661,0,0.07586654,0.07487462,-0.9943028,1.0,1.0,1.0,-0.09056251,-0.080197774,-0.0055751204,0.003505647,-0.0041773766,-0.007893597,1.0000106,1.0000123,1.0,0.1312237,0.10290566,0.00049731147,-0.012481696,-0.005970669,-0.0018721529,1,0,1
427996118,427895661,427895661,0,0.043622024,-0.06473473,-0.9969486,1.0,1.0,1.0,-0.059702568,0.049684316,-0.002808869,0.0016762164,-0.006022999,-0.008525921,1.0000107,1.0000122,1.0,0.057029735,0.03949602,0.00012623591,0.011536558,-0.011197864,-0.0022293981,1,0,1
428496088,428395661,428395661,0,0.078967966,0.060796976,-0.9950215,1.0,1.0,1.0,-0.09778599,-0.06733388,-0.004780054,0.0035672411,-0.008358806,-0.009505527,1.0000107,1.0000122,1.0,0.15299195,0.07254074,0.00036558267,0.01676291,-0.012850335,-0.002616597,1,0,1
429005941,428905661,428905661,0,0.080275714,0.12952115,-0.9883219,1.0,1.0,1.0,-0.09736055,-0.13556221,-0.01151377,-0.0008038512,-0.009667497,-0.010671706,1.0000106,1.0000122,1.0,0.15166362,0.29403022,0.0021210702,0.021298865,-0.015898513,-0.0037473785,1,0,1
429506086,429405661,429405661,0,0.16557902,0.12231149,-0.9785823,1.0,1.0,1.0,-0.1847795,-0.12791729,-0.021217644,0.00057214074,-0.003017308,-0.009327539,1.0000107,1.0000122,1.0,0.54628956,0.26180214,0.007203015,0.01725515,0.0057926197,-0.0028166051,1,0,1
430006092,429905661,429905661,0,-0.039674643,0.18804602,-0.9813585,1.0,1.0,1.0,0.018109694,-0.18661913,-0.018408,0.0004028578,-0.0035450058,-0.010518252,1.0000107,1.0000123,1.0,0.00524732,0.55722034,0.0054216716,0.0005076895,-0.0059624063,-0.0032280376,1,0,1
430496086,430395661,430395661,0,0.047292966,-0.08054903,-0.995628,1.0,1.0,1.0,-0.066376165,0.09402512,-0.0040991902,0.00102195,0.0074161636,-0.009637264,1.0000107,1.0000123,1.0,0.07049196,0.14144982,0.00026885376,0.0126949055,0.00954012,-0.0028418836,1,0,1
430996089,430895661,430895661,0,-0.1263678,-0.04782102,-0.99083006,1.0,1.0,1.0,0.09685942,0.05793327,-0.008683383,-0.0004184031,0.010963344,-0.009811383,1.0000106,1.0000123,1.0,0.15010636,0.053699564,0.0012064184,-0.0062192674,0.011186979,-0.0031198927,1,0,1
431496084,431395661,431395661,0,-0.09448913,0.057068538,-0.9938888,1.0,1.0,1.0,0.07336806,-0.057548642,-0.005887985,-0.0041604396,0.0063966177,-0.009866932,1.0000106,1.0000123,1.0,0.08612503,0.052988887,0.0005546939,-0.01556901,0.012651508,-0.0031616006,1,0,1
431996084,431895661,431895661,0,-0.06902045,0.05997207,-0.995811,1.0,1.0,1.0,0.047753014,-0.062355578,-0.003960073,-0.0014557205,0.002702327,-0.008651587,1.0000106,1.0000123,1.0,0.036485218,0.062210727,0.00025091486,-0.011194138,0.001780616,-0.0025253848,1,0,1
432506086,432405661,432405661,0,-0.23580278,0.22952314,-0.9443072,1.0,1.0,1.0,0.22969814,-0.23929293,-0.055626392,0.0029070925,-0.0036513323,-0.009670118,1.0000107,1.0000122,1.0,0.8441707,0.9161666,0.049508728,0.0076641403,-0.021831175,-0.0034291712,1,0,1
433006094,432905661,432905661,0,0.051903494,-0.012596865,-0.99857265,1.0,1.0,1.0,-0.056132704,0.0026526777,-0.0013689995,0.008877132,-0.0055603706,-0.00863433,1.0000107,1.0000123,1.0,0.05041355,0.0001125858,2.9986553e-05,0.01724004,-0.011600245,-0.0027479702,1,0,1
433506091,433405661,433405661,0,-0.06457195,0.006066564,-0.9978946,1.0,1.0,1.0,0.051921166,-0.018777153,-0.0019445419,0.008696052,-0.013659656,-0.009424595,1.0000107,1.0000123,1.0,0.043132458,0.005641234,6.0499893e-05,0.02273737,-0.030340781,-0.0038375016,1,0,1
433995932,433895661,433895661,0,-0.12788531,-0.03085371,-0.9913089,1.0,1.0,1.0,0.11114309,0.020498492,-0.008497357,0.010326698,-0.010512278,-0.009993222,1.0000107,1.0000122,1.0,0.19764246,0.0067229285,0.0011552813,0.03826744,-0.02239235,-0.003768621,1,0,1
434496114,434395661,434395661,0,-0.19241826,0.13459837,-0.9720384,1.0,1.0,1.0,0.16687661,-0.13531375,-0.027635098,0.0041895355,-0.006688558,-0.010450074,1.0000107,1.0000122,1.0,0.4455601,0.2929534,0.012219178,0.027108368,-0.013114851,-0.0034420593,1,0,1
