timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
296775797,296775661,3407890,3407890,0.0003297815,-0.00019272247,8.5034975e-05,-0.012783311,-0.001539023,-0.022463903,5000,5000,0,0,1,1
297270788,297270661,3407890,3407890,0.00039829442,-9.5369694e-05,0.0001441313,-0.006598776,0.0053749112,-0.04258325,5000,5000,0,0,1,1
297770789,297770661,3407890,3407890,-4.8854174e-05,0.00039533805,9.5418785e-05,0.000708611,-0.0077616256,-0.04888063,5000,5000,0,0,1,1
298270792,298270662,3407890,3407890,-7.479052e-05,-9.915485e-05,9.5933225e-05,0.0029496127,0.008837402,-0.052716125,4988,4988,0,0,1,1
298770796,298770661,3407890,3407890,-0.0002406046,1.2994038e-05,3.817448e-05,-0.005178533,-0.012614367,-0.029173989,5000,5000,0,0,1,1
299270797,299270661,3407890,3407890,-4.0901625e-05,3.2563807e-05,-0.00013294726,-0.019256523,1.5185033e-05,-0.04976399,5000,5000,0,0,1,1
299770789,299770661,3407890,3407890,-9.2836824e-05,-0.00013249158,-8.924939e-05,0.007620571,-0.009878939,-0.061174154,5000,5000,0,0,1,1
300270801,300270661,3407890,3407890,0.0005881242,-0.00019593956,1.0272126e-05,-0.0047456133,-0.0027433608,-0.055894997,5000,5000,0,0,1,1
300770791,300770661,3407890,3407890,0.00022507248,-0.00024285456,-0.000102631115,-0.0131014995,-0.0051588626,-0.044181027,5000,5000,0,0,1,1
301270788,301270661,3407890,3407890,-0.00035876755,0.00021730922,-0.000101747326,0.0007832567,0.0047179544,-0.045465402,5000,5000,0,0,1,1
301770795,301770662,3407890,3407890,0.0004155664,-0.0004345885,4.5461074e-06,-0.009480052,-0.0067537464,-0.044839937,5001,5001,0,0,1,1
302270791,302270661,3407890,3407890,-0.00031698396,0.00028324794,-0.00013843516,0.0015891079,0.0145186735,-0.038689688,5000,5000,0,0,1,1
302770789,302770661,3407890,3407890,0.00016215912,0.0002915686,1.1751654e-06,0.006060779,0.002486439,-0.058492165,5000,5000,0,0,1,1
303270790,303270661,3407890,3407890,-0.00014834567,0.00016668567,2.7898679e-05,-0.0054945094,0.004060037,-0.054261558,5000,5000,0,0,1,1
303775788,303775661,3407890,3407890,7.1619084e-05,7.471931e-05,0.0001399885,0.00709464,-0.0026157722,-0.047738936,5000,5000,0,0,1,1
304270793,304270661,3407890,3407890,-0.00032922006,-0.0001632816,-3.389428e-05,-0.0047486806,0.0071626795,-0.05165951,5000,5000,0,0,1,1
304770790,304770661,3407890,3407890,-0.0004222574,-1.5144411e-05,-5.942153e-05,0.0015882304,0.005665002,-0.052442446,5000,5000,0,0,1,1
305270791,305270661,3407890,3407890,0.0005036547,-4.0855643e-06,1.620806e-05,-0.015805263,0.0019311125,-0.03883195,5000,5000,0,0,1,1
305770790,305770661,3407890,3407890,-0.00022675851,-4.154724e-06,-0.000115644965,-0.011947609,0.0020688341,-0.048218206,5000,5000,0,0,1,1
306270788,306270661,3407890,3407890,-0.00047695442,0.00015155721,-0.00012159166,0.00046259502,-0.006030041,-0.049411967,5000,5000,0,0,1,1
306770792,306770662,3407890,3407890,-0.00039702034,8.7525426e-05,-7.654875e-05,0.010126642,-0.00017260626,-0.051156957,5001,5001,0,0,1,1
307275790,307275661,3407890,3407890,-0.00018336202,0.0001865219,-0.0001735076,-0.01213176,0.011609523,-0.039747823,5000,5000,0,0,1,1
307770789,307770661,3407890,3407890,-0.0005100235,0.0002606528,-0.00012853458,-0.0025359362,0.0038028595,-0.048430238,5000,5000,0,0,1,1
308270787,308270661,3407890,3407890,0.00035962515,-0.00017347414,-0.00011011467,-0.011402115,-0.005333993,-0.04305194,5000,5000,0,0,1,1
308770791,308770661,3407890,3407890,-0.00056848035,5.93844e-06,-2.5113088e-05,-0.003627073,0.0046521244,-0.049488377,5000,5000,0,0,1,1
309270790,309270661,3407890,3407890,0.0005295248,-0.00014557678,0.00017359675,-0.0011181871,-0.0048167524,-0.06399369,5000,5000,0,0,1,1
309770789,309770661,3407890,3407890,-0.00050610246,-0.0002060625,-7.3131836e-05,-0.006335125,0.012577172,-0.055173006,5000,5000,0,0,1,1
310270790,310270661,3407890,3407890,0.00015524944,6.873565e-05,4.8152728e-05,-0.0016839851,-0.00026576704,-0.044303846,5000,5000,0,0,1,1
310775790,310775661,3407890,3407890,0.00032545597,-0.00029706952,-1.3557764e-05,-0.009235889,-0.0109325815,-0.04075154,5000,5000,0,0,1,1
311270789,311270661,3407890,3407890,0.00034131508,-0.0001229182,1.5245935e-05,-0.009523777,-0.01004673,-0.042140655,5000,5000,0,0,1,1
311770787,311770661,3407890,3407890,-0.00042092858,0.00019816513,-8.064014e-05,-0.005766524,0.014142405,-0.044093862,5000,5000,0,0,1,1
312270790,312270661,3407890,3407890,-0.00032485093,0.00017685005,-1.7920482e-05,-0.0063888826,-0.005202445,-0.045036267,5000,5000,0,0,1,1
312770796,312770661,3407890,3407890,0.00028970532,-0.0001399485,2.829211e-05,-0.011709784,-0.0036548504,-0.041690096,5000,5000,0,0,1,1
313270793,313270661,3407890,3407890,0.00010089185,5.4040906e-05,-2.197096e-05,-0.026238438,0.0027235702,-0.047472294,5000,5000,0,0,1,1
313770791,313770661,3407890,3407890,-0.0006551844,0.0002531604,-8.315112e-05,0.00027482442,0.0022421968,-0.05243514,5000,5000,0,0,1,1
314275791,314275661,3407890,3407890,0.00040918498,-0.0003316666,2.2484837e-05,-0.005828188,-0.0037879394,-0.047302265,5000,5000,0,0,1,1
314770787,314770661,3407890,3407890,0.00028733254,-0.0001846755,8.196138e-05,0.006942009,-0.016600812,-0.051099956,5000,5000,0,0,1,1
315270789,315270661,3407890,3407890,0.0005781214,-0.00020959025,-6.467473e-05,-0.000372656,-0.009560653,-0.042957995,5000,5000,0,0,1,1
315770792,315770661,3407890,3407890,0.0005575886,-8.146997e-05,0.00016092468,-0.00030275522,-0.012524086,-0.05311744,5000,5000,0,0,1,1
316270790,316270661,3407890,3407890,0.0003147614,6.217929e-05,4.3770655e-05,0.009054708,0.0015273483,-0.040977698,5000,5000,0,0,1,1
316770789,316770661,3407890,3407890,0.00042048248,-9.715886e-05,1.540074e-05,-0.007112913,-0.0020845092,-0.042873148,5000,5000,0,0,1,1
317270788,317270661,3407890,3407890,0.00027503184,9.6040516e-05,0.00012650178,0.012994691,-0.009203145,-0.05102546,5000,5000,0,0,1,1
317775790,317775661,3407890,3407890,-0.00025274415,-9.4084564e-05,-7.3674564e-05,-0.013521004,0.008040643,-0.054679386,5000,5000,0,0,1,1
318270788,318270661,3407890,3407890,-0.00018027202,0.00015968004,-3.4667984e-05,0.0065524406,0.0018214111,-0.05955874,5000,5000,0,0,1,1
318770789,318770661,3407890,3407890,-0.0004311902,0.00012314726,-0.00019970386,-0.007400222,0.011203512,-0.03443758,5000,5000,0,0,1,1
319270799,319270662,3407890,3407890,0.00010457381,5.824211e-05,-7.085265e-05,0.0037569364,-0.005350855,-0.053127915,5001,5001,0,0,1,1
319770789,319770661,3407890,3407890,0.00075270445,-0.00015699134,4.9157436e-05,-0.00936458,-0.019656992,-0.04991942,5000,5000,0,0,1,1
320270791,320270662,3407890,3407890,-0.00017040005,0.000113561706,2.0762642e-05,-0.010966132,0.016751615,-0.046760473,5001,5001,0,0,1,1
320770789,320770661,3407890,3407890,-0.00028441413,0.00010029334,-2.7881042e-05,0.0039229067,0.005562071,-0.045990866,5000,5000,0,0,1,1
321270788,321270661,3407890,3407890,0.0004244277,-8.476205e-06,-1.8070996e-05,-0.003740427,-0.016028782,-0.054108094,5000,5000,0,0,1,1
321770791,321770661,3407890,3407890,-0.00043477098,-8.417679e-05,-4.757113e-05,0.00572964,0.0032461684,-0.046608258,5000,5000,0,0,1,1
322270790,322270661,3407890,3407890,0.0001376102,-0.00017966478,0.00011354583,-0.004972231,-0.0014620204,-0.041710842,5000,5000,0,0,1,1
322770818,322770702,3407890,3407890,-0.0005940665,0.00018897992,3.9677692e-05,-0.011891702,0.015919583,-0.043274965,5041,5041,0,0,1,1
323270790,323270661,3407890,3407890,-0.00027951875,0.00018466952,-3.983615e-05,0.0050059115,0.00062836317,-0.04210514,5000,5000,0,0,1,1
323770788,323770661,3407890,3407890,0.00016342185,-7.472673e-05,-1.2048467e-05,-0.004247799,-0.0051235324,-0.058628973,5000,5000,0,0,1,1
324270789,324270661,3407890,3407890,0.0003880345,6.491588e-05,6.027737e-05,0.005875782,-0.010011925,-0.048517723,5000,5000,0,0,1,1
324775791,324775661,3407890,3407890,-0.00017819885,9.032785e-05,-0.000110685796,-0.013674829,0.005059633,-0.045873135,5000,5000,0,0,1,1
325270789,325270661,3407890,3407890,2.150918e-05,0.0001526165,-0.00017463049,-0.010451101,0.0026855585,-0.039187506,5000,5000,0,0,1,1
325770791,325770661,3407890,3407890,0.00017824546,-1.9824269e-05,4.471125e-05,0.016209675,-0.00044273803,-0.052178342,5000,5000,0,0,1,1
326270792,326270661,3407890,3407890,-0.00022779747,0.00019047962,1.9254758e-06,-0.005607714,0.012959911,-0.047585264,5000,5000,0,0,1,1
326770789,326770661,3407890,3407890,-9.537593e-05,-0.00014797629,-2.0643365e-05,0.008622748,0.0068386523,-0.044554036,5000,5000,0,0,1,1
327270789,327270661,3407890,3407890,0.00048738238,-0.00037608555,2.5276677e-05,-0.016119285,0.003403115,-0.046935137,5000,5000,0,0,1,1
327770789,327770661,3407890,3407890,-0.00027563327,5.6066885e-05,-9.34259e-05,-0.0076487227,-0.005545202,-0.052043796,5000,5000,0,0,1,1
328275797,328275661,3407890,3407890,-1.241394e-05,-2.5049314e-06,-4.6136578e-05,-0.007956945,0.009214061,-0.048832573,5000,5000,0,0,1,1
328770794,328770661,3407890,3407890,-0.0003086793,0.00031002212,-0.00013100075,0.0030794695,0.005333858,-0.053602308,5000,5000,0,0,1,1
329270789,329270661,3407890,3407890,5.7529833e-05,-3.5546014e-05,3.2616957e-05,-0.008388392,-0.003213557,-0.05830644,5000,5000,0,0,1,1
329770790,329770661,3407890,3407890,0.00013223288,0.0001894517,5.0752158e-05,-0.0009337297,-0.0031173695,-0.05144024,4959,4959,0,0,1,1
330270796,330270661,3407890,3407890,0.00039549856,-0.00011247696,-2.9319075e-05,-0.0043169563,-0.0006764707,-0.04564545,5000,5000,0,0,1,1
330770809,330770661,3407890,3407890,-9.606218e-05,7.345875e-05,-1.852208e-05,0.0064845453,-0.006725739,-0.048621364,5000,5000,0,0,1,1
331270789,331270661,3407890,3407890,-8.691259e-05,0.00014466695,-0.00012463085,0.02097161,0.004615773,-0.045322496,5000,5000,0,0,1,1
331775791,331775661,3407890,3407890,-5.040313e-05,-0.00030625192,9.110275e-05,0.0013580598,-0.0035116295,-0.052360818,5000,5000,0,0,1,1
332270790,332270661,3407890,3407890,-0.00023054355,0.00015585545,-0.00012483617,0.005560482,0.013936413,-0.051366944,4998,4998,0,0,1,1
332770789,332770661,3407890,3407890,-0.00035296215,0.00012840958,7.81483e-05,-0.0065810448,0.012253545,-0.05948059,5000,5000,0,0,1,1
333270792,333270661,3407890,3407890,-0.00020620268,-3.8193233e-05,2.3688757e-05,-0.021344313,0.00018559172,-0.048104763,5000,5000,0,0,1,1
333770790,333770661,3407890,3407890,0.00063192856,2.8804589e-05,0.00010319001,0.0032208671,-0.01288801,-0.054526113,5000,5000,0,0,1,1
334270789,334270661,3407890,3407890,-0.0002735226,3.6928814e-05,-8.897323e-05,-0.0016502434,0.0065350523,-0.04382973,5000,5000,0,0,1,1
334770786,334770661,3407890,3407890,0.00021591506,9.0349175e-05,4.1494117e-05,0.00010870953,-1.08377805e-08,-0.05444867,5000,5000,0,0,1,1
