timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
295620024,295618899,4395041,-0.554693,0.064148165,0.16637899,nan,0
296619476,296618351,4395041,-0.55470425,0.060375974,0.16224284,nan,0
297619475,297618350,4395041,-0.554693,0.07924185,0.15390058,nan,0
298619439,298618314,4395041,-0.5584664,0.09056211,0.15390058,nan,0
299619427,299618290,4395041,-0.55091953,0.08301528,0.15390058,nan,0
300620032,300618908,4395041,-0.5584664,0.064148165,0.16637899,nan,0
301620026,301618901,4395041,-0.554693,0.071695015,0.16221952,nan,0
302619424,302618282,4395041,-0.55847776,0.06414948,0.15808278,nan,0
303619402,303618277,4395041,-0.56978667,0.060374744,0.14558162,nan,0
304519400,304518275,4395041,-0.554693,0.060374744,0.16637899,nan,0
305619402,305618277,4395041,-0.5584664,0.06792159,0.16221952,nan,0
306619922,306618797,4395041,-0.5509083,0.07169355,0.17883168,nan,0
307619397,307618273,4395041,-0.5622283,0.06414686,0.16219617,nan,0
308619402,308618277,4395041,-0.55468166,0.06792021,0.14556068,nan,0
309619402,309618278,4395041,-0.5660017,0.06414686,0.15387842,nan,0
310619327,310618203,4395041,-0.558455,0.06414686,0.1580373,nan,0
311619852,311618727,4395041,-0.5433506,0.06414556,0.17464769,nan,0
312619851,312618727,4395041,-0.55467033,0.06791882,0.16633114,nan,0
313619276,313618151,4395041,-0.5622169,0.07169209,0.15385629,nan,0
314619265,314618140,4395041,-0.55089706,0.07169209,0.15385629,nan,0
315619259,315618133,4395041,-0.54333943,0.056597862,0.17046492,nan,0
316619245,316618121,4395041,-0.554659,0.056597862,0.16214953,nan,0
317619778,317618653,4395041,-0.56219393,0.06791605,0.17044039,nan,0
318619232,318618107,4395041,-0.5508746,0.06036982,0.16212621,nan,0
319619230,319618105,4395041,-0.56219393,0.064142935,0.16212621,nan,0
320619206,320618081,4395041,-0.5584322,0.06791743,0.16214953,nan,0
321619194,321618069,4395041,-0.55467033,0.06791882,0.16217285,nan,0
322619730,322618605,4395041,-0.5659555,0.06036859,0.1745724,nan,0
323619733,323618608,4395041,-0.54331726,0.06414162,0.1704159,nan,0
324619179,324618054,4395041,-0.55840945,0.06791466,0.16210292,nan,0
325619186,325618056,4395041,-0.5659555,0.06036859,0.14963347,nan,0
326619197,326618072,4395041,-0.56219393,0.056596708,0.15796913,nan,0
327619178,327618054,4395041,-0.5546477,0.056596708,0.17459747,nan,0
328568144,328567020,4395041,-0.5508634,0.06036859,0.1704159,nan,0
329619192,329618068,4395041,-0.56594396,0.056594398,0.17454728,nan,0
330619177,330618052,4395041,-0.5659555,0.06036859,0.15378995,nan,0
331619199,331618056,4395041,-0.55839807,0.056594398,0.15376785,nan,0
332619177,332618053,4395041,-0.55839807,0.06414032,0.1662355,nan,0
333619620,333618495,4395041,-0.5508746,0.05282359,0.1662833,nan,0
334619609,334618484,4395041,-0.5546139,0.060366135,0.1745222,nan,0
335619057,335617932,4395041,-0.5508297,0.071683325,0.15787835,nan,0
336619050,336617925,4395041,-0.5546139,0.060366135,0.15374576,nan,0
337619043,337617914,4395041,-0.5508297,0.049046483,0.16618773,nan,0
338619036,338617912,4395041,-0.5508297,0.05281929,0.17865182,nan,0
339619574,339618450,4395041,-0.547057,0.056592096,0.1828065,nan,0
340619038,340617913,4395041,-0.5470459,0.07545461,0.16616386,nan,0
341618995,341617870,4395041,-0.56213677,0.067909144,0.15370157,nan,0
342618986,342617861,4395041,-0.5696938,0.071683325,0.16203304,nan,0
343618977,343617852,4395041,-0.55458,0.064135104,0.1702935,nan,0
344619530,344618405,4395041,-0.5395004,0.07168187,0.17031795,nan,0
345619528,345618403,4395041,-0.56589794,0.064135104,0.16614,nan,0
346618962,346617826,4395041,-0.5659095,0.064136416,0.15785566,nan,0
347618934,347617809,4395041,-0.5659095,0.060363684,0.15370157,nan,0
348618962,348617826,4395041,-0.55458,0.04904449,0.174447,nan,0
349618934,349617809,4395041,-0.5583414,0.04527092,0.17857485,nan,0
350619472,350618347,4395041,-0.55836403,0.060363684,0.17447205,nan,0
351618906,351617781,4395041,-0.55080736,0.064135104,0.1619865,nan,0
352618913,352617783,4395041,-0.55835265,0.060362447,0.157833,nan,0
353618910,353617786,4395041,-0.5621253,0.06790775,0.16614,nan,0
354618906,354617781,4395041,-0.54701245,0.056587495,0.17854922,nan,0
