timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
282516361,282516240,0.8926957,0.8382916,0.9149797,0.97714907,nan,nan,nan,nan,nan,nan,nan,nan,0
282617609,282617491,0.86079144,0.8602891,0.9246557,0.9574239,nan,nan,nan,nan,nan,nan,nan,nan,0
282716361,282716241,0.87987834,0.8410168,0.9159678,0.96575576,nan,nan,nan,nan,nan,nan,nan,nan,0
282817608,282817490,0.8364676,0.88121235,0.9479515,0.9305433,nan,nan,nan,nan,nan,nan,nan,nan,0
282915113,282914991,0.86540806,0.85326076,0.92557603,0.9543,nan,nan,nan,nan,nan,nan,nan,nan,0
283016359,283016241,0.83256084,0.8899421,0.95152706,0.9326037,nan,nan,nan,nan,nan,nan,nan,nan,0
283117610,283117491,0.8373396,0.88298386,0.94220287,0.9394,nan,nan,nan,nan,nan,nan,nan,nan,0
283216359,283216241,0.8485953,0.8763072,0.9473249,0.93741035,nan,nan,nan,nan,nan,nan,nan,nan,0
283317608,283317490,0.8463828,0.8691376,0.9393328,0.93395454,nan,nan,nan,nan,nan,nan,nan,nan,0
283415112,283414991,0.86256534,0.8572803,0.92810935,0.94812256,nan,nan,nan,nan,nan,nan,nan,nan,0
283517609,283517491,0.8696576,0.8479071,0.9313009,0.9415866,nan,nan,nan,nan,nan,nan,nan,nan,0
283615112,283614991,0.8740071,0.84731007,0.91253924,0.96357334,nan,nan,nan,nan,nan,nan,nan,nan,0
283716359,283716241,0.8848074,0.8394627,0.925518,0.95292765,nan,nan,nan,nan,nan,nan,nan,nan,0
283817609,283817491,0.881122,0.8434548,0.91395515,0.96491915,nan,nan,nan,nan,nan,nan,nan,nan,0
283916360,283916241,0.88144374,0.8460598,0.9204522,0.9605705,nan,nan,nan,nan,nan,nan,nan,nan,0
284017609,284017490,0.8570748,0.87545437,0.94056976,0.9448525,nan,nan,nan,nan,nan,nan,nan,nan,0
284115111,284114991,0.8800072,0.8503899,0.9175145,0.96387523,nan,nan,nan,nan,nan,nan,nan,nan,0
284217611,284217491,0.84639525,0.8862972,0.95258325,0.9312173,nan,nan,nan,nan,nan,nan,nan,nan,0
284315112,284314991,0.8604411,0.8701179,0.9447224,0.93675816,nan,nan,nan,nan,nan,nan,nan,nan,0
284416359,284416241,0.83466923,0.8916173,0.95015335,0.9272322,nan,nan,nan,nan,nan,nan,nan,nan,0
284517608,284517490,0.8561169,0.8664055,0.9246305,0.9483402,nan,nan,nan,nan,nan,nan,nan,nan,0
284616363,284616243,0.85954875,0.8598265,0.9309886,0.9398435,nan,nan,nan,nan,nan,nan,nan,nan,0
284717617,284717491,0.88382864,0.8487501,0.92308795,0.96117204,nan,nan,nan,nan,nan,nan,nan,nan,0
284815110,284814991,0.87644833,0.85350615,0.92830545,0.95269483,nan,nan,nan,nan,nan,nan,nan,nan,0
284917611,284917491,0.8716566,0.8687592,0.93261784,0.9565216,nan,nan,nan,nan,nan,nan,nan,nan,0
285015111,285014991,0.89184517,0.8415161,0.910668,0.96923625,nan,nan,nan,nan,nan,nan,nan,nan,0
285116360,285116241,0.84610623,0.89406484,0.95078295,0.9342973,nan,nan,nan,nan,nan,nan,nan,nan,0
285217609,285217490,0.85966414,0.8900624,0.94757307,0.94490206,nan,nan,nan,nan,nan,nan,nan,nan,0
285316359,285316241,0.8573061,0.8826377,0.9579149,0.924534,nan,nan,nan,nan,nan,nan,nan,nan,0
285417608,285417490,0.8647563,0.8741086,0.93314767,0.94874996,nan,nan,nan,nan,nan,nan,nan,nan,0
285515116,285514993,0.87232953,0.8651689,0.9293302,0.949688,nan,nan,nan,nan,nan,nan,nan,nan,0
285617616,285617491,0.884382,0.8503335,0.9134427,0.9620848,nan,nan,nan,nan,nan,nan,nan,nan,0
285715112,285714991,0.88086444,0.8513299,0.89869136,0.9740469,nan,nan,nan,nan,nan,nan,nan,nan,0
285816359,285816241,0.8712128,0.8656084,0.92847836,0.9478868,nan,nan,nan,nan,nan,nan,nan,nan,0
285917617,285917491,0.8473233,0.88242435,0.924524,0.94341964,nan,nan,nan,nan,nan,nan,nan,nan,0
286016359,286016241,0.8427783,0.8952869,0.945174,0.9292557,nan,nan,nan,nan,nan,nan,nan,nan,0
286117608,286117490,0.8477041,0.8902477,0.93245274,0.940892,nan,nan,nan,nan,nan,nan,nan,nan,0
286215111,286214991,0.8404766,0.89958566,0.9409841,0.9334137,nan,nan,nan,nan,nan,nan,nan,nan,0
286317609,286317490,0.8764323,0.86890996,0.922267,0.9563193,nan,nan,nan,nan,nan,nan,nan,nan,0
286415111,286414991,0.8803563,0.86550814,0.9269002,0.9520437,nan,nan,nan,nan,nan,nan,nan,nan,0
286516371,286516241,0.88293254,0.8719727,0.93179226,0.9562428,nan,nan,nan,nan,nan,nan,nan,nan,0
286617609,286617491,0.8802606,0.8770914,0.9204012,0.96842724,nan,nan,nan,nan,nan,nan,nan,nan,0
286716363,286716241,0.8521567,0.9045661,0.95737195,0.9293295,nan,nan,nan,nan,nan,nan,nan,nan,0
286817609,286817491,0.8598396,0.89173156,0.94016993,0.93919265,nan,nan,nan,nan,nan,nan,nan,nan,0
286916365,286916241,0.8480071,0.9054772,0.9414479,0.93984824,nan,nan,nan,nan,nan,nan,nan,nan,0
287017610,287017491,0.89501035,0.85499257,0.9216498,0.9576899,nan,nan,nan,nan,nan,nan,nan,nan,0
287115112,287114991,0.8841814,0.865191,0.9235322,0.9569804,nan,nan,nan,nan,nan,nan,nan,nan,0
287216364,287216241,0.8820561,0.85698235,0.9134118,0.9585999,nan,nan,nan,nan,nan,nan,nan,nan,0
287317608,287317490,0.8663497,0.865595,0.9283469,0.938136,nan,nan,nan,nan,nan,nan,nan,nan,0
287416371,287416241,0.85020494,0.8795687,0.92465734,0.940549,nan,nan,nan,nan,nan,nan,nan,nan,0
287517608,287517490,0.8422978,0.88186496,0.9280661,0.9310792,nan,nan,nan,nan,nan,nan,nan,nan,0
287615111,287614991,0.83069503,0.897318,0.9289223,0.93425286,nan,nan,nan,nan,nan,nan,nan,nan,0
287717610,287717491,0.8680202,0.8537227,0.91942894,0.93742007,nan,nan,nan,nan,nan,nan,nan,nan,0
287815109,287814991,0.84949845,0.8756247,0.9222868,0.9362895,nan,nan,nan,nan,nan,nan,nan,nan,0
287916364,287916241,0.86771345,0.8551985,0.92276865,0.9312151,nan,nan,nan,nan,nan,nan,nan,nan,0
288017609,288017491,0.88500994,0.8414787,0.9068529,0.94786984,nan,nan,nan,nan,nan,nan,nan,nan,0
288116362,288116241,0.8929132,0.84474313,0.9082104,0.95424765,nan,nan,nan,nan,nan,nan,nan,nan,0
288217627,288217509,0.8801851,0.8613783,0.91732645,0.9465121,nan,nan,nan,nan,nan,nan,nan,nan,0
288315119,288314991,0.88426733,0.8600522,0.92584085,0.93908036,nan,nan,nan,nan,nan,nan,nan,nan,0
288417608,288417490,0.8578254,0.8893858,0.9419868,0.92493176,nan,nan,nan,nan,nan,nan,nan,nan,0
288515111,288514991,0.858001,0.89141464,0.9490033,0.9183664,nan,nan,nan,nan,nan,nan,nan,nan,0
288616363,288616241,0.8551385,0.89058083,0.9379469,0.9236808,nan,nan,nan,nan,nan,nan,nan,nan,0
288717608,288717490,0.87008154,0.87967694,0.93719596,0.92618304,nan,nan,nan,nan,nan,nan,nan,nan,0
288816362,288816241,0.8894219,0.85977787,0.91267926,0.94644195,nan,nan,nan,nan,nan,nan,nan,nan,0
288917610,288917491,0.89869785,0.8515254,0.90950197,0.9462421,nan,nan,nan,nan,nan,nan,nan,nan,0
289015111,289014991,0.8884984,0.85240424,0.9246028,0.91948074,nan,nan,nan,nan,nan,nan,nan,nan,0
289117609,289117490,0.85902774,0.8865155,0.92222106,0.9237901,nan,nan,nan,nan,nan,nan,nan,nan,0
289215119,289214991,0.8750027,0.87254286,0.92413014,0.9201447,nan,nan,nan,nan,nan,nan,nan,nan,0
289316365,289316241,0.8579363,0.8949812,0.9181693,0.9267675,nan,nan,nan,nan,nan,nan,nan,nan,0
289417607,289417490,0.85684997,0.90165406,0.9305072,0.9174243,nan,nan,nan,nan,nan,nan,nan,nan,0
289516363,289516241,0.8826637,0.8857464,0.92188185,0.9332208,nan,nan,nan,nan,nan,nan,nan,nan,0
289617609,289617490,0.8990772,0.8696502,0.9124173,0.940513,nan,nan,nan,nan,nan,nan,nan,nan,0
289715113,289714991,0.91023576,0.8640634,0.9190847,0.9364825,nan,nan,nan,nan,nan,nan,nan,nan,0
289817640,289817523,0.8806117,0.9065997,0.9323416,0.9339652,nan,nan,nan,nan,nan,nan,nan,nan,0
289915112,289914991,0.8693328,0.9159503,0.9386193,0.9250472,nan,nan,nan,nan,nan,nan,nan,nan,0
290016363,290016241,0.9046076,0.8821206,0.92012626,0.94525784,nan,nan,nan,nan,nan,nan,nan,nan,0
290117610,290117491,0.8946602,0.8870558,0.9276469,0.9331757,nan,nan,nan,nan,nan,nan,nan,nan,0
290216363,290216241,0.8814652,0.8917444,0.9201946,0.9307215,nan,nan,nan,nan,nan,nan,nan,nan,0
290317610,290317491,0.8603712,0.91804177,0.9309145,0.92338115,nan,nan,nan,nan,nan,nan,nan,nan,0
290415111,290414991,0.86717343,0.9134451,0.9461292,0.90997964,nan,nan,nan,nan,nan,nan,nan,nan,0
290517607,290517490,0.9038685,0.8749765,0.8995279,0.95426965,nan,nan,nan,nan,nan,nan,nan,nan,0
290615112,290614991,0.8999854,0.876478,0.91380197,0.9358507,nan,nan,nan,nan,nan,nan,nan,nan,0
