timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
287834335,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
288844338,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
289854337,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
290864200,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
291874395,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
292884191,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
293894338,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
294904189,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
295914327,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
296924336,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
297934185,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
298944335,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
299954347,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
300964342,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
301974331,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
302984336,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
303994372,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
305004341,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
306014177,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
307024189,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
308034349,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
309044188,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
310054181,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
311064193,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
312074176,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
313084331,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
314094183,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
315104198,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
316114187,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
317124342,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
318134331,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
319144225,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
320154183,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
321164196,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
322174369,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
323184356,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
324194175,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
325204358,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
326214332,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
327224174,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
328234377,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
329244339,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
330254332,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
331264358,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
332274188,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
333284345,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
334294212,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
335304190,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
336314339,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
337324213,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
338334187,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
339344187,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
340354216,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
341364329,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
342374384,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
343384215,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
