timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch,payload_power_switch,engage_main_motor_switch
335920848,335889723,3,4,3,0,0,0,3,0,0,0,0,0,0
336930943,336900155,3,4,3,0,0,0,3,0,0,0,0,0,0
337942873,337911412,3,4,3,0,0,0,3,0,0,0,0,0,0
338956126,338924700,3,4,3,0,0,0,3,0,0,0,0,0,0
339968175,339936876,3,4,3,0,0,0,3,0,0,0,0,0,0
340979514,340948447,3,4,3,0,0,0,3,0,0,0,0,0,0
341991676,341960891,3,4,3,0,0,0,3,0,0,0,0,0,0
343002018,342970828,3,4,3,0,0,0,3,0,0,0,0,0,0
344014698,343983654,3,4,3,0,0,0,3,0,0,0,0,0,0
345024312,344992795,3,4,3,0,0,0,3,0,0,0,0,0,0
346034774,346003658,3,4,3,0,0,0,3,0,0,0,0,0,0
347046888,347015525,3,4,3,0,0,0,3,0,0,0,0,0,0
348056754,348025481,3,4,3,0,0,0,3,0,0,0,0,0,0
349066428,349035430,3,4,3,0,0,0,3,0,0,0,0,0,0
350076892,350045154,3,4,3,0,0,0,3,0,0,0,0,0,0
351088417,351057646,3,4,3,0,0,0,3,0,0,0,0,0,0
352099176,352067653,3,4,3,0,0,0,3,0,0,0,0,0,0
353109716,353078445,3,4,3,0,0,0,3,0,0,0,0,0,0
354123346,354091604,3,4,3,0,0,0,3,0,0,0,0,0,0
355134312,355102646,3,4,3,0,0,0,3,0,0,0,0,0,0
356146905,356115505,3,4,3,0,0,0,3,0,0,0,0,0,0
357158757,357127654,3,4,3,0,0,0,3,0,0,0,0,0,0
358170046,358138506,3,4,3,0,0,0,3,0,0,0,0,0,0
359184460,359152649,3,4,3,0,0,0,3,0,0,0,0,0,0
360195431,360164734,3,4,3,0,0,0,3,0,0,0,0,0,0
361208050,361176883,3,4,3,0,0,0,3,0,0,0,0,0,0
362220618,362189143,3,4,3,0,0,0,3,0,0,0,0,0,0
363230719,363199242,3,4,3,0,0,0,3,0,0,0,0,0,0
364241820,364210972,3,4,3,0,0,0,3,0,0,0,0,0,0
365252106,365220843,3,4,3,0,0,0,3,0,0,0,0,0,0
366264767,366233464,3,4,3,0,0,0,3,0,0,0,0,0,0
367273465,367242648,3,4,3,0,0,0,3,0,0,0,0,0,0
368287784,368256418,3,4,3,0,0,0,3,0,0,0,0,0,0
369300691,369269379,3,4,3,0,0,0,3,0,0,0,0,0,0
370312652,370280979,3,4,3,0,0,0,3,0,0,0,0,0,0
371321819,371290434,3,4,3,0,0,0,3,0,0,0,0,0,0
372333344,372302087,3,4,3,0,0,0,3,0,0,0,0,0,0
373345570,373314473,3,4,3,0,0,0,3,0,0,0,0,0,0
374357233,374325448,3,4,3,0,0,0,3,0,0,0,0,0,0
375368349,375337176,3,4,3,0,0,0,3,0,0,0,0,0,0
376378376,376347225,3,4,3,0,0,0,3,0,0,0,0,0,0
377390547,377359398,3,4,3,0,0,0,3,0,0,0,0,0,0
378400843,378369374,3,4,3,0,0,0,3,0,0,0,0,0,0
379413776,379382644,3,4,3,0,0,0,3,0,0,0,0,0,0
380426447,380394702,3,4,3,0,0,0,3,0,0,0,0,0,0
381436751,381405523,3,4,3,0,0,0,3,0,0,0,0,0,0
382450222,382419375,3,4,3,0,0,0,3,0,0,0,0,0,0
383460848,383429724,3,4,3,0,0,0,3,0,0,0,0,0,0
384472400,384441412,3,4,3,0,0,0,3,0,0,0,0,0,0
385483311,385452085,3,4,3,0,0,0,3,0,0,0,0,0,0
386494505,386462999,3,4,3,0,0,0,3,0,0,0,0,0,0
387506135,387475153,3,4,3,0,0,0,3,0,0,0,0,0,0
388516190,388484507,3,4,3,0,0,0,3,0,0,0,0,0,0
389527287,389495302,3,4,3,0,0,0,3,0,0,0,0,0,0
390538611,390507844,3,4,3,0,0,0,3,0,0,0,0,0,0
391550634,391519372,3,4,3,0,0,0,3,0,0,0,0,0,0
392561816,392530850,3,4,3,0,0,0,3,0,0,0,0,0,0
393573053,393541412,3,4,3,0,0,0,3,0,0,0,0,0,0
394582647,394551408,3,4,3,0,0,0,3,0,0,0,0,0,0
395593289,395562646,3,4,3,0,0,0,3,0,0,0,0,0,0
396604553,396573015,3,4,3,0,0,0,3,0,0,0,0,0,0
397615706,397584613,3,4,3,0,0,0,3,0,0,0,0,0,0
398627133,398595347,3,4,3,0,0,0,3,0,0,0,0,0,0
399636886,399605168,3,4,3,0,0,0,3,0,0,0,0,0,0
400649130,400617667,3,4,3,0,0,0,3,0,0,0,0,0,0
401660847,401629726,3,4,3,0,0,0,3,0,0,0,0,0,0
402672721,402641415,3,4,3,0,0,0,3,0,0,0,0,0,0
403684548,403653276,3,4,3,0,0,0,3,0,0,0,0,0,0
404697166,404665493,3,4,3,0,0,0,3,0,0,0,0,0,0
405709112,405678057,3,4,3,0,0,0,3,0,0,0,0,0,0
406719528,406688061,3,4,3,0,0,0,3,0,0,0,0,0,0
407731620,407700293,3,4,3,0,0,0,3,0,0,0,0,0,0
408742642,408710973,3,4,3,0,0,0,3,0,0,0,0,0,0
409754721,409723001,3,4,3,0,0,0,3,0,0,0,0,0,0
410766450,410735451,3,4,3,0,0,0,3,0,0,0,0,0,0
