timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
375336148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
375842148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
376348148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
376854539,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
377360230,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
377866150,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
378372148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
378878153,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
379384548,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
379890177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
380396168,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
380902167,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
381408169,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
381914547,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
382420177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
382926150,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
383432147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
383938148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
384444538,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
384950238,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
385456148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
385962148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
386468170,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
386974622,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
387480217,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
387986168,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
388492147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
388998148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
389504343,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
390010177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
390516171,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
391022147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
391528149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
392034324,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
392540178,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
393046149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
393552147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
394058149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
394564351,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
395070204,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
395576148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
396082148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
396588150,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
397094355,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
397600176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
398106148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
398612148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
399118149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
399624375,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
400130223,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
400636148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
401142148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
401648148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
402154539,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
402660177,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
403166148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
403672148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
404178149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
404684496,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
405190203,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
405696205,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
406202147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
406708149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
407214554,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
407720176,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
408226148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
408732148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
409238233,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
409744513,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
410250213,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
410756148,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
411262147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
411768169,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
412274676,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
412780213,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
413286149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
413792147,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
414298149,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
414804514,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
